Gene,Expt,x,y
3110035E14Rik,1,6256,14153
3110035E14Rik,1,6276,13952
3110035E14Rik,1,6289,13927
3110035E14Rik,1,6313,13642
3110035E14Rik,1,6326,14392
3110035E14Rik,1,6369,14785
3110035E14Rik,1,6404,13638
3110035E14Rik,1,6418,14021
3110035E14Rik,1,6425,14601
3110035E14Rik,1,6426,14600
3110035E14Rik,1,6438,13924
3110035E14Rik,1,6439,13752
3110035E14Rik,1,6442,13765
3110035E14Rik,1,6445,14233
3110035E14Rik,1,6452,13971
3110035E14Rik,1,6456,13636
3110035E14Rik,1,6456,13874
3110035E14Rik,1,6456,13875
3110035E14Rik,1,6470,13703
3110035E14Rik,1,6473,13728
3110035E14Rik,1,6479,14555
3110035E14Rik,1,6488,13705
3110035E14Rik,1,6489,13651
3110035E14Rik,1,6491,13605
3110035E14Rik,1,6491,13675
3110035E14Rik,1,6503,13918
3110035E14Rik,1,6513,14256
3110035E14Rik,1,6519,13628
3110035E14Rik,1,6522,13864
3110035E14Rik,1,6531,13831
3110035E14Rik,1,6534,13770
3110035E14Rik,1,6537,13937
3110035E14Rik,1,6537,14056
3110035E14Rik,1,6539,13760
3110035E14Rik,1,6540,14067
3110035E14Rik,1,6546,13799
3110035E14Rik,1,6547,13778
3110035E14Rik,1,6547,13848
3110035E14Rik,1,6548,13871
3110035E14Rik,1,6549,14305
3110035E14Rik,1,6550,13981
3110035E14Rik,1,6556,13659
3110035E14Rik,1,6562,13828
3110035E14Rik,1,6562,13838
3110035E14Rik,1,6562,13912
3110035E14Rik,1,6563,13807
3110035E14Rik,1,6563,13830
3110035E14Rik,1,6566,13596
3110035E14Rik,1,6566,14054
3110035E14Rik,1,6567,13817
3110035E14Rik,1,6577,14346
3110035E14Rik,1,6578,13676
3110035E14Rik,1,6578,13764
3110035E14Rik,1,6578,13920
3110035E14Rik,1,6580,13855
3110035E14Rik,1,6581,13796
3110035E14Rik,1,6581,14057
3110035E14Rik,1,6581,14110
3110035E14Rik,1,6582,13794
3110035E14Rik,1,6583,13685
3110035E14Rik,1,6586,13695
3110035E14Rik,1,6590,13918
3110035E14Rik,1,6592,14233
3110035E14Rik,1,6596,13717
3110035E14Rik,1,6596,13904
3110035E14Rik,1,6599,13886
3110035E14Rik,1,6603,14099
3110035E14Rik,1,6605,13727
3110035E14Rik,1,6607,13671
3110035E14Rik,1,6607,14055
3110035E14Rik,1,6608,13900
3110035E14Rik,1,6610,13775
3110035E14Rik,1,6610,14158
3110035E14Rik,1,6613,13712
3110035E14Rik,1,6616,13966
3110035E14Rik,1,6617,13930
3110035E14Rik,1,6619,13821
3110035E14Rik,1,6619,13860
3110035E14Rik,1,6619,13891
3110035E14Rik,1,6619,13983
3110035E14Rik,1,6620,13891
3110035E14Rik,1,6627,13940
3110035E14Rik,1,6627,14052
3110035E14Rik,1,6628,13612
3110035E14Rik,1,6628,14011
3110035E14Rik,1,6630,13713
3110035E14Rik,1,6630,14001
3110035E14Rik,1,6634,13667
3110035E14Rik,1,6635,13694
3110035E14Rik,1,6637,13944
3110035E14Rik,1,6638,13886
3110035E14Rik,1,6638,14107
3110035E14Rik,1,6644,14241
3110035E14Rik,1,6646,14323
3110035E14Rik,1,6648,13668
3110035E14Rik,1,6651,13680
3110035E14Rik,1,6652,13834
3110035E14Rik,1,6652,13908
3110035E14Rik,1,6655,13921
3110035E14Rik,1,6657,14206
3110035E14Rik,1,6658,13975
3110035E14Rik,1,6659,13703
3110035E14Rik,1,6659,14145
3110035E14Rik,1,6659,14287
3110035E14Rik,1,6663,13946
3110035E14Rik,1,6665,13927
3110035E14Rik,1,6666,13640
3110035E14Rik,1,6667,14620
3110035E14Rik,1,6667,14621
3110035E14Rik,1,6668,14019
3110035E14Rik,1,6668,14287
3110035E14Rik,1,6669,14048
3110035E14Rik,1,6669,14486
3110035E14Rik,1,6670,14254
3110035E14Rik,1,6671,14228
3110035E14Rik,1,6672,14574
3110035E14Rik,1,6673,14149
3110035E14Rik,1,6673,14573
3110035E14Rik,1,6678,14059
3110035E14Rik,1,6681,14110
3110035E14Rik,1,6682,13720
3110035E14Rik,1,6683,14447
3110035E14Rik,1,6686,13862
3110035E14Rik,1,6686,14020
3110035E14Rik,1,6686,14112
3110035E14Rik,1,6689,13952
3110035E14Rik,1,6689,14048
3110035E14Rik,1,6690,14202
3110035E14Rik,1,6690,14319
3110035E14Rik,1,6691,14373
3110035E14Rik,1,6693,13763
3110035E14Rik,1,6695,13685
3110035E14Rik,1,6695,14007
3110035E14Rik,1,6696,14416
3110035E14Rik,1,6697,14052
3110035E14Rik,1,6697,14131
3110035E14Rik,1,6697,14207
3110035E14Rik,1,6697,14336
3110035E14Rik,1,6698,13850
3110035E14Rik,1,6703,13713
3110035E14Rik,1,6703,14064
3110035E14Rik,1,6704,13599
3110035E14Rik,1,6706,13870
3110035E14Rik,1,6709,13984
3110035E14Rik,1,6710,14299
3110035E14Rik,1,6714,14273
3110035E14Rik,1,6719,14326
3110035E14Rik,1,6719,14724
3110035E14Rik,1,6720,13983
3110035E14Rik,1,6724,14482
3110035E14Rik,1,6725,14000
3110035E14Rik,1,6725,14098
3110035E14Rik,1,6728,14388
3110035E14Rik,1,6729,14169
3110035E14Rik,1,6729,14252
3110035E14Rik,1,6731,13876
3110035E14Rik,1,6731,14128
3110035E14Rik,1,6732,13993
3110035E14Rik,1,6732,14028
3110035E14Rik,1,6734,14273
3110035E14Rik,1,6734,14398
3110035E14Rik,1,6736,13937
3110035E14Rik,1,6737,13891
3110035E14Rik,1,6744,14284
3110035E14Rik,1,6745,13982
3110035E14Rik,1,6745,14203
3110035E14Rik,1,6747,14059
3110035E14Rik,1,6749,14121
3110035E14Rik,1,6749,14413
3110035E14Rik,1,6750,14700
3110035E14Rik,1,6751,14143
3110035E14Rik,1,6752,14446
3110035E14Rik,1,6753,14060
3110035E14Rik,1,6753,14145
3110035E14Rik,1,6753,14491
