mode,groupNonNeurons,norm,fold,xKey,xLabel,yKey,yLabel,val
constrained,True,mean,0,0.25,0.25,0.0,0.0,0.08217590747116736
constrained,True,mean,0,0.25,0.25,0.1,0.1,0.06738242923163645
constrained,True,mean,0,0.25,0.25,0.2,0.2,0.057499185696809105
constrained,True,mean,0,0.25,0.25,0.3,0.3,0.0490541715528114
constrained,True,mean,0,0.25,0.25,0.4,0.4,0.03554420225567782
constrained,True,mean,0,0.25,0.25,0.5,0.5,0.03919468367202169
constrained,True,mean,0,0.25,0.25,0.6,0.6,0.034567952765686735
constrained,True,mean,0,0.25,0.25,0.7,0.7,0.04034601241744389
constrained,True,mean,0,0.25,0.25,0.8,0.8,0.05893328953762446
constrained,True,mean,0,0.25,0.25,0.9,0.9,0.04763006817409213
constrained,True,mean,0,0.25,0.25,1.0,1.0,0.07148821238604063
constrained,True,mean,0,0.5,0.5,0.0,0.0,0.2963195275907209
constrained,True,mean,0,0.5,0.5,0.1,0.1,0.24158049022848496
constrained,True,mean,0,0.5,0.5,0.2,0.2,0.21737927898269924
constrained,True,mean,0,0.5,0.5,0.3,0.3,0.14632948166044796
constrained,True,mean,0,0.5,0.5,0.4,0.4,0.09412069297977234
constrained,True,mean,0,0.5,0.5,0.5,0.5,0.07164023068578884
constrained,True,mean,0,0.5,0.5,0.6,0.6,0.05661654835009202
constrained,True,mean,0,0.5,0.5,0.7,0.7,0.03946349486276335
constrained,True,mean,0,0.5,0.5,0.8,0.8,0.025389613778457637
constrained,True,mean,0,0.5,0.5,0.9,0.9,0.026354116180583108
constrained,True,mean,0,0.5,0.5,1.0,1.0,0.025609529480928355
constrained,True,mean,0,0.75,0.75,0.0,0.0,0.4631702609642816
constrained,True,mean,0,0.75,0.75,0.1,0.1,0.42155503435219216
constrained,True,mean,0,0.75,0.75,0.2,0.2,0.36426642100170764
constrained,True,mean,0,0.75,0.75,0.3,0.3,0.30239702376441446
constrained,True,mean,0,0.75,0.75,0.4,0.4,0.21652408344778853
constrained,True,mean,0,0.75,0.75,0.5,0.5,0.17846925019355955
constrained,True,mean,0,0.75,0.75,0.6,0.6,0.09327645486570098
constrained,True,mean,0,0.75,0.75,0.7,0.7,0.06591492665991965
constrained,True,mean,0,0.75,0.75,0.8,0.8,0.051344422083763754
constrained,True,mean,0,0.75,0.75,0.9,0.9,0.030899343198465434
constrained,True,mean,0,0.75,0.75,1.0,1.0,0.03154056005611933
constrained,True,mean,0,1.0,1.0,0.0,0.0,0.5551727987817013
constrained,True,mean,0,1.0,1.0,0.1,0.1,0.5288401475930063
constrained,True,mean,0,1.0,1.0,0.2,0.2,0.4372034613630667
constrained,True,mean,0,1.0,1.0,0.3,0.3,0.3995867508635574
constrained,True,mean,0,1.0,1.0,0.4,0.4,0.3148257360388427
constrained,True,mean,0,1.0,1.0,0.5,0.5,0.24997402584146344
constrained,True,mean,0,1.0,1.0,0.6,0.6,0.1895583688383156
constrained,True,mean,0,1.0,1.0,0.7,0.7,0.0979525823254453
constrained,True,mean,0,1.0,1.0,0.8,0.8,0.05898840201477742
constrained,True,mean,0,1.0,1.0,0.9,0.9,0.04355063842254865
constrained,True,mean,0,1.0,1.0,1.0,1.0,0.043190916472617184
constrained,True,mean,0,1.25,1.25,0.0,0.0,0.6368807349822332
constrained,True,mean,0,1.25,1.25,0.1,0.1,0.6077332649270276
constrained,True,mean,0,1.25,1.25,0.2,0.2,0.5346652428749554
constrained,True,mean,0,1.25,1.25,0.3,0.3,0.5238745620405372
constrained,True,mean,0,1.25,1.25,0.4,0.4,0.42799962155292465
constrained,True,mean,0,1.25,1.25,0.5,0.5,0.3268845217545473
constrained,True,mean,0,1.25,1.25,0.6,0.6,0.24336034323797026
constrained,True,mean,0,1.25,1.25,0.7,0.7,0.141061795385479
