model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Cck.Calca,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lypd1,Cck.Sema5a,Endo,Eryth.2,Microglia.1,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vsmc,Zero
Astro.1,0.007696077012979001,0.004062160321031,0.014939823086277,0.0,0.021880759461667003,0.0,0.0,0.00195386829094,0.0033987682107720005,0.046897698093655,0.066421674934642,0.0024787059959810002,0.006549659181330001,0.0,0.303838215555551,0.049179341623613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034416506546650003,0.0,0.034202735893534,0.0,0.0,0.0,0.0,0.0,0.0,0.008226221319013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005951980385359001,0.0,0.0,0.0,0.20566918406842202,0.0,0.07843063901387101,0.0,0.0,0.0,0.0,0.0,0.0,0.007201066241111001,0.005202119174513,0.119363652038818
Astro.1,0.006171767204037001,0.002280248383388,0.010872060172155001,0.0,0.004788221892169001,0.0,0.0,0.001839598692315,0.0,0.0,0.0037513499019300005,0.0,0.0,0.005777004504164,0.0022711735074790003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030194163306936004,0.0,0.06706408539361601,0.0,0.0,0.0,0.0,0.0,0.0,0.037948968103530004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004786241756527,0.0,0.0,0.0,0.24771190174976102,0.003524219996559,0.10240543898324701,0.0,0.0,0.0,0.0,0.0,0.0,0.033038398143305,0.08469996694526101,0.34816089200771305
Astro.1,0.007284424500209,0.003702421914661,0.0013863710654620001,0.0017796077325030002,0.0017163809902200002,0.0,0.0,0.033780020997766,0.010165518967145001,0.013067172933150002,0.0016255879975300002,0.154254594333875,0.0016027103010580002,0.012503246316323002,0.002716875985033,0.016125637804543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16829900142339202,0.0040587130077490005,0.00619514812546,0.0,0.0,0.0,0.0,0.0,0.0,0.0026729499396660004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007257429587506001,0.0,0.0,0.0,0.010040558828763,0.0,0.005731770295712001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23859483931046702,0.294311456584308
Astro.1,0.001119051063332,0.0,0.0,0.0,0.001236425164628,0.0,0.0,0.0,0.0,0.0,0.022975312561220002,0.0,0.001421495498806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068050289599481,0.055224114345140005,0.0058871400306210004,0.0,0.0,0.0,0.0,0.0,0.0,0.07711035280225301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11171185629579601,0.651394870493864
Astro.1,0.007845202337903,0.001689553079979,0.0026750582925750004,0.0,0.007443367421377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002725040957246,0.0,0.030283301798568002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011074977045759,0.9347756380077811
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018801777672890002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048468337132330005,0.9906343808477671
Astro.1,0.128144245452036,0.076779777500019,0.055543513461339004,0.02221220067214,0.043266975673707006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008837370503446,0.0,0.022997949214102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018383919708538,0.622833861298927
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002141302542084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006023566905439001,0.0027341004476020003,0.0,0.0010578731042090001,0.0,0.0,0.0,0.0,0.0,0.5505146871354331,0.0,0.0,0.002364249804008,0.06372086084322601,0.0,0.343052963535013,0.0,0.0,0.0,0.0,0.0,0.0,0.026618476503733002,0.0,0.0
Astro.1,0.015602300068711002,0.010698990966778002,0.009031611406235,0.012742642339865001,0.0021164833420910002,0.0,0.0,0.001457781892355,0.0,0.0,0.119341715627298,0.0071581866031960005,0.00410142939257,0.295516315323616,0.0067872490715720005,0.005022460104502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47917600436676205,0.027655587406035003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.0011887818680300002,0.0037185717505170005,0.0030721111744060003,0.003041694760714,0.0016652737034150002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016471423584230001,0.0,0.0021748842388170002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040530523594470005,0.9789955613344681
