Gene,Expt,x,y
3110035E14Rik,1,6712,14580
3110035E14Rik,1,7078,14207
3110035E14Rik,1,7080,14138
3110035E14Rik,1,7113,14205
3110035E14Rik,1,7116,14301
3110035E14Rik,1,7120,14265
3110035E14Rik,1,7124,14192
3110035E14Rik,1,7149,14574
3110035E14Rik,1,7150,14575
3110035E14Rik,1,7153,14496
3110035E14Rik,1,7154,14217
3110035E14Rik,1,7170,14118
3110035E14Rik,1,7184,14499
3110035E14Rik,1,7191,14152
3110035E14Rik,1,7194,14161
3110035E14Rik,1,7202,14369
3110035E14Rik,1,7203,14151
3110035E14Rik,1,7224,14586
3110035E14Rik,1,7232,14248
3110035E14Rik,1,7234,14315
3110035E14Rik,1,7235,14371
3110035E14Rik,1,7245,14293
3110035E14Rik,1,7251,14245
3110035E14Rik,1,7254,14516
3110035E14Rik,1,7255,14233
3110035E14Rik,1,7260,14327
3110035E14Rik,1,7267,14108
3110035E14Rik,1,7267,14433
3110035E14Rik,1,7269,14273
3110035E14Rik,1,7284,14386
3110035E14Rik,1,7286,14656
3110035E14Rik,1,7288,14595
3110035E14Rik,1,7296,14199
3110035E14Rik,1,7314,14529
3110035E14Rik,1,7320,14571
3110035E14Rik,1,7325,14410
3110035E14Rik,1,7325,14786
3110035E14Rik,1,7332,14395
3110035E14Rik,1,7332,14653
3110035E14Rik,1,7335,14171
3110035E14Rik,1,7339,14231
3110035E14Rik,1,7342,14657
3110035E14Rik,1,7344,14289
3110035E14Rik,1,7351,14525
3110035E14Rik,1,7368,14526
3110035E14Rik,1,7368,14778
3110035E14Rik,1,7370,14704
3110035E14Rik,1,7371,14642
3110035E14Rik,1,7373,14562
3110035E14Rik,1,7376,14385
3110035E14Rik,1,7377,14808
3110035E14Rik,1,7382,14813
3110035E14Rik,1,7386,14278
3110035E14Rik,1,7388,14423
3110035E14Rik,1,7390,14247
3110035E14Rik,1,7397,14575
3110035E14Rik,1,7399,14604
3110035E14Rik,1,7401,14749
3110035E14Rik,1,7402,14556
3110035E14Rik,1,7403,14410
3110035E14Rik,1,7404,14337
3110035E14Rik,1,7404,14556
3110035E14Rik,1,7409,14370
3110035E14Rik,1,7415,14634
3110035E14Rik,1,7415,14802
3110035E14Rik,1,7419,14776
3110035E14Rik,1,7431,14543
3110035E14Rik,1,7434,14500
3110035E14Rik,1,7434,14810
3110035E14Rik,1,7435,14590
3110035E14Rik,1,7441,14634
3110035E14Rik,1,7443,14670
3110035E14Rik,1,7446,14737
3110035E14Rik,1,7450,14615
3110035E14Rik,1,7455,14526
3110035E14Rik,1,7457,14428
3110035E14Rik,1,7457,14600
3110035E14Rik,1,7468,14652
3110035E14Rik,1,7472,14373
3110035E14Rik,1,7474,14690
3110035E14Rik,1,7476,14438
3110035E14Rik,1,6681,15145
3110035E14Rik,1,6683,15171
3110035E14Rik,1,6683,15441
3110035E14Rik,1,6686,15851
3110035E14Rik,1,6688,15571
3110035E14Rik,1,6691,15465
3110035E14Rik,1,6692,16253
3110035E14Rik,1,6693,15728
3110035E14Rik,1,6694,16638
3110035E14Rik,1,6695,16102
3110035E14Rik,1,6695,16287
3110035E14Rik,1,6696,15144
3110035E14Rik,1,6696,16646
3110035E14Rik,1,6697,16645
3110035E14Rik,1,6700,16639
3110035E14Rik,1,6702,16576
3110035E14Rik,1,6703,15751
3110035E14Rik,1,6704,15922
3110035E14Rik,1,6705,15061
3110035E14Rik,1,6705,15291
3110035E14Rik,1,6705,15299
3110035E14Rik,1,6705,15312
3110035E14Rik,1,6705,15983
3110035E14Rik,1,6706,15147
3110035E14Rik,1,6707,15331
3110035E14Rik,1,6707,15900
3110035E14Rik,1,6708,15334
3110035E14Rik,1,6709,15282
3110035E14Rik,1,6712,15882
3110035E14Rik,1,6713,15582
3110035E14Rik,1,6714,15418
3110035E14Rik,1,6715,15986
3110035E14Rik,1,6716,16620
3110035E14Rik,1,6717,15167
3110035E14Rik,1,6718,15988
3110035E14Rik,1,6719,16593
3110035E14Rik,1,6720,16078
3110035E14Rik,1,6721,15314
3110035E14Rik,1,6721,15841
3110035E14Rik,1,6721,16068
3110035E14Rik,1,6722,15203
3110035E14Rik,1,6722,15321
3110035E14Rik,1,6722,15556
3110035E14Rik,1,6723,15882
3110035E14Rik,1,6723,16327
3110035E14Rik,1,6724,15680
3110035E14Rik,1,6724,15888
3110035E14Rik,1,6728,16495
3110035E14Rik,1,6729,16050
3110035E14Rik,1,6731,16388
3110035E14Rik,1,6732,15354
3110035E14Rik,1,6732,16451
3110035E14Rik,1,6734,15346
3110035E14Rik,1,6735,15972
3110035E14Rik,1,6736,15367
3110035E14Rik,1,6736,16044
3110035E14Rik,1,6736,16431
3110035E14Rik,1,6737,16038
3110035E14Rik,1,6741,16520
3110035E14Rik,1,6744,15924
3110035E14Rik,1,6744,16184
3110035E14Rik,1,6745,15188
3110035E14Rik,1,6745,15358
3110035E14Rik,1,6746,15166
3110035E14Rik,1,6746,15676
3110035E14Rik,1,6746,16580
3110035E14Rik,1,6747,15022
3110035E14Rik,1,6747,16199
3110035E14Rik,1,6750,15346
3110035E14Rik,1,6750,15931
3110035E14Rik,1,6750,16018
3110035E14Rik,1,6751,15206
3110035E14Rik,1,6752,15153
3110035E14Rik,1,6752,16142
3110035E14Rik,1,6752,16461
3110035E14Rik,1,6752,16472
3110035E14Rik,1,6752,16483
3110035E14Rik,1,6753,16216
3110035E14Rik,1,6754,15953
3110035E14Rik,1,6756,15839
3110035E14Rik,1,6757,15758
3110035E14Rik,1,6758,15825
3110035E14Rik,1,6759,15180
3110035E14Rik,1,6759,15181
3110035E14Rik,1,6760,15220
3110035E14Rik,1,6762,15974
3110035E14Rik,1,6762,16135
3110035E14Rik,1,6763,15754
3110035E14Rik,1,6763,16448
3110035E14Rik,1,6768,15479
3110035E14Rik,1,6769,15771
3110035E14Rik,1,6771,15836
3110035E14Rik,1,6774,16109
3110035E14Rik,1,6776,14827
3110035E14Rik,1,6777,15342
3110035E14Rik,1,6777,16275
3110035E14Rik,1,6779,15552
3110035E14Rik,1,6781,16271
