Gene,Expt,x,y
3110035E14Rik,1,18733,14331
3110035E14Rik,1,18754,14255
3110035E14Rik,1,18758,13454
3110035E14Rik,1,18974,14533
3110035E14Rik,1,18995,14551
3110035E14Rik,1,19025,14518
3110035E14Rik,1,19041,13756
3110035E14Rik,1,19082,14737
3110035E14Rik,1,19109,13915
3110035E14Rik,1,19114,13814
3110035E14Rik,1,19122,13788
3110035E14Rik,1,19169,13793
3110035E14Rik,1,19173,13919
3110035E14Rik,1,19201,14372
3110035E14Rik,1,19203,14192
3110035E14Rik,1,19207,13758
3110035E14Rik,1,19211,13886
3110035E14Rik,1,19214,13758
3110035E14Rik,1,19268,13976
3110035E14Rik,1,19270,14256
3110035E14Rik,1,19278,13936
3110035E14Rik,1,19287,13797
3110035E14Rik,1,19305,13975
3110035E14Rik,1,19327,13768
3110035E14Rik,1,19329,14570
3110035E14Rik,1,19332,14451
3110035E14Rik,1,19355,13965
3110035E14Rik,1,19362,13758
3110035E14Rik,1,19372,13754
3110035E14Rik,1,19374,13812
3110035E14Rik,1,19385,14456
3110035E14Rik,1,19386,14342
3110035E14Rik,1,19422,14000
3110035E14Rik,1,19451,13729
3110035E14Rik,1,19452,13782
3110035E14Rik,1,19486,13963
3110035E14Rik,1,19491,14748
3110035E14Rik,1,19494,13875
3110035E14Rik,1,19496,14178
3110035E14Rik,1,19502,14048
3110035E14Rik,1,19504,13791
3110035E14Rik,1,19512,13973
3110035E14Rik,1,19535,13976
3110035E14Rik,1,19536,13913
3110035E14Rik,1,19536,13989
3110035E14Rik,1,19546,13841
3110035E14Rik,1,19560,13926
3110035E14Rik,1,19565,13938
3110035E14Rik,1,19566,14063
3110035E14Rik,1,19566,14106
3110035E14Rik,1,19574,13980
3110035E14Rik,1,19577,13689
3110035E14Rik,1,19579,14167
3110035E14Rik,1,19604,13939
3110035E14Rik,1,19615,13798
3110035E14Rik,1,19615,14140
3110035E14Rik,1,19622,13621
3110035E14Rik,1,19626,14155
3110035E14Rik,1,19627,14144
3110035E14Rik,1,19629,14626
3110035E14Rik,1,19630,14147
3110035E14Rik,1,19632,13718
3110035E14Rik,1,19641,13381
3110035E14Rik,1,19644,13970
3110035E14Rik,1,19648,13908
3110035E14Rik,1,19650,14451
3110035E14Rik,1,19660,14204
3110035E14Rik,1,19661,13864
3110035E14Rik,1,19663,14056
