Gene,Expt,x,y
3110035E14Rik,1,5646,12878
3110035E14Rik,1,5647,11878
3110035E14Rik,1,5653,12991
3110035E14Rik,1,5654,12895
3110035E14Rik,1,5662,12752
3110035E14Rik,1,5664,12760
3110035E14Rik,1,5668,12759
3110035E14Rik,1,5668,13045
3110035E14Rik,1,5685,12762
3110035E14Rik,1,5689,12770
3110035E14Rik,1,5705,12890
3110035E14Rik,1,5715,13042
3110035E14Rik,1,5739,12214
3110035E14Rik,1,5744,11969
3110035E14Rik,1,5766,12932
3110035E14Rik,1,5794,13034
3110035E14Rik,1,5796,11742
3110035E14Rik,1,5838,12040
3110035E14Rik,1,5945,12935
3110035E14Rik,1,5989,11518
3110035E14Rik,1,5994,12258
3110035E14Rik,1,6000,12266
3110035E14Rik,1,6006,12243
3110035E14Rik,1,6067,12890
3110035E14Rik,1,6086,11771
3110035E14Rik,1,6098,12724
3110035E14Rik,1,6100,12422
3110035E14Rik,1,6141,11469
3110035E14Rik,1,6171,11506
3110035E14Rik,1,6179,11491
3110035E14Rik,1,6193,11434
3110035E14Rik,1,6220,11740
3110035E14Rik,1,6227,13047
3110035E14Rik,1,6231,11655
3110035E14Rik,1,6239,11856
3110035E14Rik,1,6260,11700
3110035E14Rik,1,6266,11547
3110035E14Rik,1,6267,11479
3110035E14Rik,1,6267,11800
3110035E14Rik,1,6283,11509
3110035E14Rik,1,6284,11399
3110035E14Rik,1,6296,11346
3110035E14Rik,1,6299,11359
3110035E14Rik,1,6301,11576
3110035E14Rik,1,6309,12257
3110035E14Rik,1,6317,12138
3110035E14Rik,1,6321,11437
3110035E14Rik,1,6336,11437
3110035E14Rik,1,6339,11428
3110035E14Rik,1,6342,11412
3110035E14Rik,1,6350,11372
3110035E14Rik,1,6353,11559
3110035E14Rik,1,6359,12947
3110035E14Rik,1,6360,11508
3110035E14Rik,1,6368,11390
3110035E14Rik,1,6370,11304
3110035E14Rik,1,6374,11602
3110035E14Rik,1,6378,12919
3110035E14Rik,1,6379,12009
3110035E14Rik,1,6385,11360
3110035E14Rik,1,6385,11593
3110035E14Rik,1,6389,11323
3110035E14Rik,1,6389,11474
3110035E14Rik,1,6393,12906
3110035E14Rik,1,6394,12906
3110035E14Rik,1,6395,11966
3110035E14Rik,1,6397,11758
3110035E14Rik,1,6397,11969
3110035E14Rik,1,6416,11335
3110035E14Rik,1,6419,11749
3110035E14Rik,1,6423,11736
3110035E14Rik,1,6424,11377
3110035E14Rik,1,6426,12169
3110035E14Rik,1,6426,12370
3110035E14Rik,1,6428,11884
3110035E14Rik,1,6433,11825
3110035E14Rik,1,6434,11586
3110035E14Rik,1,6436,12123
3110035E14Rik,1,6447,12106
3110035E14Rik,1,6450,12000
3110035E14Rik,1,6453,12014
3110035E14Rik,1,6457,12198
3110035E14Rik,1,6459,11936
3110035E14Rik,1,6460,12174
3110035E14Rik,1,6460,12239
3110035E14Rik,1,6465,11985
3110035E14Rik,1,6466,12133
3110035E14Rik,1,6472,11894
3110035E14Rik,1,6472,12112
3110035E14Rik,1,6472,12381
3110035E14Rik,1,6474,12737
3110035E14Rik,1,6476,12137
3110035E14Rik,1,6478,12317
3110035E14Rik,1,6485,12263
3110035E14Rik,1,6490,12185
3110035E14Rik,1,6494,11844
3110035E14Rik,1,6503,12373
3110035E14Rik,1,6504,12083
3110035E14Rik,1,6504,12107
3110035E14Rik,1,6511,11935
3110035E14Rik,1,6516,11506
3110035E14Rik,1,6517,11946
3110035E14Rik,1,6532,12202
3110035E14Rik,1,6533,11982
3110035E14Rik,1,6553,11359
3110035E14Rik,1,6553,12635
