Gene,Expt,x,y
3110035E14Rik,1,21853,11217
3110035E14Rik,1,21864,11233
3110035E14Rik,1,21928,10752
3110035E14Rik,1,21985,11321
3110035E14Rik,1,22099,11123
3110035E14Rik,1,22229,10545
3110035E14Rik,1,21863,11827
3110035E14Rik,1,21882,13189
3110035E14Rik,1,21887,11523
3110035E14Rik,1,21927,11771
3110035E14Rik,1,21959,11769
3110035E14Rik,1,21982,11912
3110035E14Rik,1,22164,11762
3110035E14Rik,1,22200,12295
3110035E14Rik,1,21849,13413
3110035E14Rik,1,21869,13370
3110035E14Rik,1,21876,13296
3110035E14Rik,1,21877,14313
3110035E14Rik,1,21878,13569
3110035E14Rik,1,21880,14064
3110035E14Rik,1,21881,14055
3110035E14Rik,1,21886,13601
3110035E14Rik,1,21913,13710
3110035E14Rik,1,21914,14280
3110035E14Rik,1,21950,13904
3110035E14Rik,1,21976,13369
3110035E14Rik,1,21984,13761
3110035E14Rik,1,22040,13726
3110035E14Rik,1,22043,13368
3110035E14Rik,1,22053,13407
3110035E14Rik,1,22064,13427
3110035E14Rik,1,22074,14431
3110035E14Rik,1,22109,13761
3110035E14Rik,1,22110,13344
3110035E14Rik,1,22112,14126
3110035E14Rik,1,22116,13797
3110035E14Rik,1,22119,13303
3110035E14Rik,1,22132,13687
3110035E14Rik,1,22137,13676
3110035E14Rik,1,22139,14198
3110035E14Rik,1,22154,13509
3110035E14Rik,1,22160,13775
3110035E14Rik,1,22163,13506
3110035E14Rik,1,22164,14817
3110035E14Rik,1,22171,13505
3110035E14Rik,1,22320,10576
3110035E14Rik,1,22372,10695
3110035E14Rik,1,22399,11364
3110035E14Rik,1,22474,11077
3110035E14Rik,1,22489,10506
3110035E14Rik,1,22675,10531
3110035E14Rik,1,22708,10451
3110035E14Rik,1,22711,10447
3110035E14Rik,1,22715,10468
3110035E14Rik,1,22757,10814
3110035E14Rik,1,22778,10867
3110035E14Rik,1,22950,10429
3110035E14Rik,1,22982,10369
3110035E14Rik,1,23059,10832
3110035E14Rik,1,23106,10426
3110035E14Rik,1,23354,10684
3110035E14Rik,1,23355,10677
3110035E14Rik,1,23360,10684
3110035E14Rik,1,23650,11415
3110035E14Rik,1,23715,10661
3110035E14Rik,1,23780,10477
3110035E14Rik,1,23823,11288
3110035E14Rik,1,23839,11287
3110035E14Rik,1,23873,10936
3110035E14Rik,1,23954,10376
3110035E14Rik,1,23966,11253
3110035E14Rik,1,23989,10394
3110035E14Rik,1,23999,10832
3110035E14Rik,1,24037,10873
3110035E14Rik,1,22226,12290
3110035E14Rik,1,22248,12175
3110035E14Rik,1,22253,12318
3110035E14Rik,1,22267,12994
3110035E14Rik,1,22273,12254
3110035E14Rik,1,22276,12410
3110035E14Rik,1,22282,12331
3110035E14Rik,1,22303,12349
3110035E14Rik,1,22353,11875
3110035E14Rik,1,22360,12255
3110035E14Rik,1,22363,12422
3110035E14Rik,1,22365,12403
3110035E14Rik,1,22418,12120
3110035E14Rik,1,22432,12147
3110035E14Rik,1,22440,12360
3110035E14Rik,1,22446,12434
3110035E14Rik,1,22478,12301
3110035E14Rik,1,22479,11422
3110035E14Rik,1,22502,12177
3110035E14Rik,1,22505,13230
3110035E14Rik,1,22518,11739
3110035E14Rik,1,22531,12113
3110035E14Rik,1,22547,12357
3110035E14Rik,1,22549,12057
3110035E14Rik,1,22576,12296
3110035E14Rik,1,22591,12070
3110035E14Rik,1,22595,12086
3110035E14Rik,1,22609,11795
3110035E14Rik,1,22680,12090
3110035E14Rik,1,22682,13229
3110035E14Rik,1,22694,12375
3110035E14Rik,1,22703,12221
3110035E14Rik,1,22718,11725
3110035E14Rik,1,22725,12093
3110035E14Rik,1,22737,12413
3110035E14Rik,1,22740,12116
3110035E14Rik,1,22747,12251
3110035E14Rik,1,22770,12481
3110035E14Rik,1,22776,11894
3110035E14Rik,1,22856,11976
3110035E14Rik,1,22860,11965
3110035E14Rik,1,22885,11989
3110035E14Rik,1,22903,12047
3110035E14Rik,1,22908,12057
3110035E14Rik,1,22909,12260
3110035E14Rik,1,22932,12304
3110035E14Rik,1,22936,12022
3110035E14Rik,1,22938,12303
3110035E14Rik,1,22956,12001
3110035E14Rik,1,22959,12247
3110035E14Rik,1,22960,11942
3110035E14Rik,1,22966,13201
3110035E14Rik,1,22968,11948
3110035E14Rik,1,22971,12231
3110035E14Rik,1,22983,12196
3110035E14Rik,1,23001,12235
3110035E14Rik,1,23011,11967
3110035E14Rik,1,23015,11818
3110035E14Rik,1,23024,11995
3110035E14Rik,1,23045,11851
3110035E14Rik,1,23053,11893
3110035E14Rik,1,23054,12168
3110035E14Rik,1,23059,11663
3110035E14Rik,1,23080,12397
3110035E14Rik,1,23136,11865
3110035E14Rik,1,23149,12225
3110035E14Rik,1,23163,11887
3110035E14Rik,1,23175,11766
3110035E14Rik,1,23181,11917
3110035E14Rik,1,23181,12207
3110035E14Rik,1,23184,12109
3110035E14Rik,1,23206,13070
3110035E14Rik,1,23221,12116
3110035E14Rik,1,23260,11775
3110035E14Rik,1,23279,12186
3110035E14Rik,1,23306,11722
3110035E14Rik,1,23324,12177
3110035E14Rik,1,23340,13018
3110035E14Rik,1,23366,13007
3110035E14Rik,1,23422,11500
3110035E14Rik,1,23431,12091
3110035E14Rik,1,23445,12041
3110035E14Rik,1,23467,11541
3110035E14Rik,1,23472,11992
3110035E14Rik,1,23476,12135
3110035E14Rik,1,23481,12850
3110035E14Rik,1,23506,11453
3110035E14Rik,1,23514,11872
3110035E14Rik,1,23525,12038
3110035E14Rik,1,23527,12085
3110035E14Rik,1,23534,13082
3110035E14Rik,1,23572,11961
3110035E14Rik,1,23580,12795
3110035E14Rik,1,23630,11537
3110035E14Rik,1,23649,11922
3110035E14Rik,1,23650,11907
3110035E14Rik,1,23658,11466
3110035E14Rik,1,23677,11593
3110035E14Rik,1,23889,11812
3110035E14Rik,1,23923,11864
3110035E14Rik,1,23933,11933
3110035E14Rik,1,23947,11809
3110035E14Rik,1,23957,11812
3110035E14Rik,1,23965,11801
3110035E14Rik,1,24029,11665
3110035E14Rik,1,22203,13533
3110035E14Rik,1,22246,14658
3110035E14Rik,1,22249,14660
3110035E14Rik,1,22256,13554
3110035E14Rik,1,22283,13640
3110035E14Rik,1,22299,13361
3110035E14Rik,1,22300,13305
3110035E14Rik,1,22302,13303
3110035E14Rik,1,22307,13336
3110035E14Rik,1,22310,14754
3110035E14Rik,1,22311,13321
3110035E14Rik,1,22312,14751
3110035E14Rik,1,22314,13339
3110035E14Rik,1,22331,14677
3110035E14Rik,1,22336,13643
3110035E14Rik,1,22350,14890
3110035E14Rik,1,22353,14184
3110035E14Rik,1,22356,13766
3110035E14Rik,1,22357,13946
3110035E14Rik,1,22363,14021
3110035E14Rik,1,22365,13407
3110035E14Rik,1,22383,13358
3110035E14Rik,1,22383,13601
3110035E14Rik,1,22388,13869
3110035E14Rik,1,22390,13454
3110035E14Rik,1,22397,13858
3110035E14Rik,1,22403,13455
3110035E14Rik,1,22403,14006
3110035E14Rik,1,22426,13836
3110035E14Rik,1,22432,13959
3110035E14Rik,1,22433,13985
3110035E14Rik,1,22450,13817
3110035E14Rik,1,22451,13408
3110035E14Rik,1,22451,14395
3110035E14Rik,1,22456,13485
3110035E14Rik,1,22461,13530
3110035E14Rik,1,22493,13973
3110035E14Rik,1,22496,13952
3110035E14Rik,1,22497,13945
3110035E14Rik,1,22499,13269
3110035E14Rik,1,22501,13486
3110035E14Rik,1,22506,13981
3110035E14Rik,1,22507,13971
3110035E14Rik,1,22517,13588
3110035E14Rik,1,22517,14746
3110035E14Rik,1,22519,13641
3110035E14Rik,1,22529,13760
3110035E14Rik,1,22531,13639
3110035E14Rik,1,22534,14433
3110035E14Rik,1,22538,13787
3110035E14Rik,1,22542,13631
3110035E14Rik,1,22545,13616
3110035E14Rik,1,22550,14698
3110035E14Rik,1,22551,14530
3110035E14Rik,1,22555,13601
3110035E14Rik,1,22555,13614
3110035E14Rik,1,22556,13633
3110035E14Rik,1,22558,13839
3110035E14Rik,1,22574,14033
3110035E14Rik,1,22579,13915
3110035E14Rik,1,22591,14181
3110035E14Rik,1,22592,14073
3110035E14Rik,1,22604,14601
3110035E14Rik,1,22606,14005
3110035E14Rik,1,22619,14493
3110035E14Rik,1,22631,13728
3110035E14Rik,1,22632,13941
3110035E14Rik,1,22635,14522
3110035E14Rik,1,22639,14573
3110035E14Rik,1,22640,14567
3110035E14Rik,1,22642,13647
3110035E14Rik,1,22647,14420
3110035E14Rik,1,22651,13367
3110035E14Rik,1,22662,14807
3110035E14Rik,1,22668,13715
3110035E14Rik,1,22675,13919
3110035E14Rik,1,22694,13521
3110035E14Rik,1,22696,13422
3110035E14Rik,1,22715,14157
3110035E14Rik,1,22733,13514
3110035E14Rik,1,22742,14146
3110035E14Rik,1,22743,14133
3110035E14Rik,1,22751,13469
3110035E14Rik,1,22752,14510
3110035E14Rik,1,22767,13796
3110035E14Rik,1,22772,14853
3110035E14Rik,1,22773,14422
3110035E14Rik,1,22778,14110
3110035E14Rik,1,22784,13718
3110035E14Rik,1,22784,14101
3110035E14Rik,1,22786,14476
3110035E14Rik,1,22786,14839
3110035E14Rik,1,22792,13706
3110035E14Rik,1,22797,13702
3110035E14Rik,1,22799,13690
3110035E14Rik,1,22819,13617
3110035E14Rik,1,22819,13798
3110035E14Rik,1,22822,13787
3110035E14Rik,1,22823,13715
3110035E14Rik,1,22826,14687
3110035E14Rik,1,22834,14049
3110035E14Rik,1,22839,13820
3110035E14Rik,1,22844,14037
3110035E14Rik,1,22860,13732
3110035E14Rik,1,22867,13581
3110035E14Rik,1,22867,13706
3110035E14Rik,1,22871,13693
3110035E14Rik,1,22874,14356
3110035E14Rik,1,22879,14086
3110035E14Rik,1,22881,13617
3110035E14Rik,1,22882,13943
3110035E14Rik,1,22883,13961
3110035E14Rik,1,22897,13988
3110035E14Rik,1,22911,13851
3110035E14Rik,1,22914,13883
3110035E14Rik,1,22921,13890
3110035E14Rik,1,22921,14205
3110035E14Rik,1,22925,13832
3110035E14Rik,1,22933,13897
3110035E14Rik,1,22936,13614
3110035E14Rik,1,22940,14229
3110035E14Rik,1,22946,13639
3110035E14Rik,1,22949,13905
3110035E14Rik,1,22950,13916
3110035E14Rik,1,22985,13686
3110035E14Rik,1,22986,13852
3110035E14Rik,1,22998,13958
3110035E14Rik,1,23018,13718
3110035E14Rik,1,23022,13591
3110035E14Rik,1,23053,13787
3110035E14Rik,1,23056,13458
3110035E14Rik,1,23066,13702
3110035E14Rik,1,23070,13764
3110035E14Rik,1,23073,13768
3110035E14Rik,1,23075,13728
3110035E14Rik,1,23094,14606
3110035E14Rik,1,23096,13648
3110035E14Rik,1,23104,14393
3110035E14Rik,1,23128,13729
3110035E14Rik,1,23148,13514
3110035E14Rik,1,23160,14079
3110035E14Rik,1,23161,13737
3110035E14Rik,1,23163,14092
3110035E14Rik,1,23167,14026
3110035E14Rik,1,23171,13701
3110035E14Rik,1,23172,13357
3110035E14Rik,1,23193,14179
3110035E14Rik,1,23194,14178
3110035E14Rik,1,23197,14031
3110035E14Rik,1,23202,14191
3110035E14Rik,1,23205,14022
3110035E14Rik,1,23221,14040
3110035E14Rik,1,23236,14631
3110035E14Rik,1,23238,13646
3110035E14Rik,1,23244,13650
3110035E14Rik,1,23261,13980
3110035E14Rik,1,23263,14608
3110035E14Rik,1,23264,13665
3110035E14Rik,1,23269,13557
3110035E14Rik,1,23277,13980
3110035E14Rik,1,23278,13991
3110035E14Rik,1,23287,14953
3110035E14Rik,1,23297,14109
3110035E14Rik,1,23302,13734
3110035E14Rik,1,23302,13994
3110035E14Rik,1,23308,13867
3110035E14Rik,1,23310,14161
3110035E14Rik,1,23320,13886
3110035E14Rik,1,23321,13948
3110035E14Rik,1,23325,13956
3110035E14Rik,1,23326,13676
3110035E14Rik,1,23327,13941
3110035E14Rik,1,23332,14900
3110035E14Rik,1,23336,13930
3110035E14Rik,1,23340,13714
3110035E14Rik,1,23348,13775
3110035E14Rik,1,23348,14535
3110035E14Rik,1,23351,13952
3110035E14Rik,1,23355,14878
3110035E14Rik,1,23357,13666
3110035E14Rik,1,23366,13796
3110035E14Rik,1,23368,14861
3110035E14Rik,1,23368,14912
3110035E14Rik,1,23370,13722
3110035E14Rik,1,23372,13893
3110035E14Rik,1,23380,14879
3110035E14Rik,1,23388,13607
3110035E14Rik,1,23390,13779
3110035E14Rik,1,23390,14862
3110035E14Rik,1,23395,14907
3110035E14Rik,1,23398,13768
3110035E14Rik,1,23398,14895
3110035E14Rik,1,23409,14180
3110035E14Rik,1,23411,14951
3110035E14Rik,1,23412,13617
3110035E14Rik,1,23414,13619
3110035E14Rik,1,23419,14174
3110035E14Rik,1,23421,14177
3110035E14Rik,1,23423,14168
3110035E14Rik,1,23426,13750
3110035E14Rik,1,23430,13335
3110035E14Rik,1,23430,14158
3110035E14Rik,1,23432,14132
3110035E14Rik,1,23436,13532
3110035E14Rik,1,23437,14155
3110035E14Rik,1,23438,13641
3110035E14Rik,1,23439,14900
3110035E14Rik,1,23440,13773
3110035E14Rik,1,23440,14923
3110035E14Rik,1,23441,14897
3110035E14Rik,1,23442,14889
3110035E14Rik,1,23443,14116
3110035E14Rik,1,23445,14885
3110035E14Rik,1,23448,13575
3110035E14Rik,1,23449,13340
3110035E14Rik,1,23449,14172
3110035E14Rik,1,23457,13660
3110035E14Rik,1,23458,13869
3110035E14Rik,1,23460,13340
3110035E14Rik,1,23460,13997
3110035E14Rik,1,23471,14026
3110035E14Rik,1,23472,13839
3110035E14Rik,1,23475,14698
3110035E14Rik,1,23490,14935
3110035E14Rik,1,23498,14840
3110035E14Rik,1,23501,13595
3110035E14Rik,1,23505,14861
3110035E14Rik,1,23506,13829
3110035E14Rik,1,23509,14843
3110035E14Rik,1,23513,14826
3110035E14Rik,1,23522,14852
3110035E14Rik,1,23526,13927
3110035E14Rik,1,23530,14810
3110035E14Rik,1,23532,13446
3110035E14Rik,1,23538,14947
3110035E14Rik,1,23541,13742
3110035E14Rik,1,23541,14802
3110035E14Rik,1,23542,14257
3110035E14Rik,1,23543,13960
3110035E14Rik,1,23555,13726
3110035E14Rik,1,23560,14101
3110035E14Rik,1,23563,13812
3110035E14Rik,1,23567,14885
3110035E14Rik,1,23569,14887
3110035E14Rik,1,23573,13691
3110035E14Rik,1,23584,14881
3110035E14Rik,1,23598,13484
3110035E14Rik,1,23598,14873
3110035E14Rik,1,23599,14017
3110035E14Rik,1,23608,13984
3110035E14Rik,1,23610,13979
3110035E14Rik,1,23615,14925
3110035E14Rik,1,23625,13661
3110035E14Rik,1,23628,14169
3110035E14Rik,1,23629,14930
3110035E14Rik,1,23632,14810
3110035E14Rik,1,23633,14918
3110035E14Rik,1,23643,14762
3110035E14Rik,1,23651,14781
3110035E14Rik,1,23653,13726
3110035E14Rik,1,23658,14901
3110035E14Rik,1,23659,14908
3110035E14Rik,1,23660,14756
3110035E14Rik,1,23666,14806
3110035E14Rik,1,23669,14752
3110035E14Rik,1,23671,13532
3110035E14Rik,1,23676,14943
3110035E14Rik,1,23677,13998
3110035E14Rik,1,23678,13557
3110035E14Rik,1,23679,14955
3110035E14Rik,1,23684,14951
3110035E14Rik,1,23685,14791
3110035E14Rik,1,23687,14166
3110035E14Rik,1,23692,14885
3110035E14Rik,1,23693,14952
3110035E14Rik,1,23695,14831
3110035E14Rik,1,23699,14424
3110035E14Rik,1,23700,14419
3110035E14Rik,1,23713,14767
3110035E14Rik,1,23713,14954
3110035E14Rik,1,23715,14939
3110035E14Rik,1,23721,13510
3110035E14Rik,1,23727,13542
3110035E14Rik,1,23728,13532
3110035E14Rik,1,23728,14802
3110035E14Rik,1,23736,13487
3110035E14Rik,1,23739,13548
3110035E14Rik,1,23744,13740
3110035E14Rik,1,23746,13402
3110035E14Rik,1,23746,13743
3110035E14Rik,1,23747,13433
3110035E14Rik,1,23753,13726
3110035E14Rik,1,23756,13438
3110035E14Rik,1,23756,14706
3110035E14Rik,1,23759,13428
3110035E14Rik,1,23760,14798
