Gene,Expt,y,x,neighbour
3110035E14Rik,1,13896.9675506995,6193.67430943662,17
3110035E14Rik,1,13660.0537763984,6200.81099354998,19
3110035E14Rik,1,14333.5486036716,6234.18790194522,30
3110035E14Rik,1,13252.8952520708,6249.2577360221,42
3110035E14Rik,1,14239.5354238229,6273.37891571803,53
3110035E14Rik,1,14512.6666701828,6296.43193973159,57
3110035E14Rik,1,13157.1113847937,6277.23356483395,59
3110035E14Rik,1,13160.037442578,6282.3906877641,59
3110035E14Rik,1,14662.8707042817,6296.06678393708,60
3110035E14Rik,1,13657.128603714,6298.16881184204,63
3110035E14Rik,1,14470.9329183145,6339.77259035324,82
3110035E14Rik,1,13141.2547431949,6379.73235886594,96
3110035E14Rik,1,14423.352346135,6359.06046454916,3482
3110035E14Rik,1,13478.1999789521,6457.38776631757,138
3110035E14Rik,1,15087.5967567221,6500.80084457202,149
3110035E14Rik,1,14303.6660957218,6502.79479769011,152
3110035E14Rik,1,14313.4733459053,6513.12033411381,152
3110035E14Rik,1,14155.2379691325,6568.00520921884,168
3110035E14Rik,1,15467.805168116,6640.00980302955,182
3110035E14Rik,1,14394.4643530342,6628.4850478049,183
3110035E14Rik,1,15345.8220470876,6631.84894030352,189
3110035E14Rik,1,15527.4947618976,6678.80379011828,196
3110035E14Rik,1,15307.7014110456,6687.29776013608,201
3110035E14Rik,1,14097.9265397017,6731.5723312366,211
3110035E14Rik,1,15834.8692988699,6814.23357581629,238
3110035E14Rik,1,14221.0684093206,6857.83102716619,248
3110035E14Rik,1,14465.7166813119,6870.15207508526,255
3110035E14Rik,1,14482.4516761373,6873.32925820559,255
3110035E14Rik,1,14324.7103643769,6857.01024930992,256
3110035E14Rik,1,14400.6466953468,6862.94335881666,257
3110035E14Rik,1,14643.1970056969,6898.39249837912,258
3110035E14Rik,1,13990.9576312283,6881.66748283729,260
3110035E14Rik,1,13994.4043885758,6873.4891216691,260
3110035E14Rik,1,13764.8071570204,6879.59132469257,267
3110035E14Rik,1,13755.4538972468,6880.44134546502,267
3110035E14Rik,1,15816.1679449793,6893.68021296617,270
3110035E14Rik,1,13747.3690623229,6899.55127211039,274
3110035E14Rik,1,13817.0597900455,6903.06801137101,275
3110035E14Rik,1,14236.7179117308,6904.07869268774,278
3110035E14Rik,1,14544.9929428661,6897.93175103015,279
3110035E14Rik,1,14318.9561483339,6889.48989919272,281
3110035E14Rik,1,14570.9355136152,6900.72504637934,282
3110035E14Rik,1,14598.1592660191,6886.43815428258,282
3110035E14Rik,1,13765.9712557397,6903.61820515341,283
3110035E14Rik,1,14511.4687090075,6901.79742076749,284
3110035E14Rik,1,14523.3424367385,6895.8728877661,284
3110035E14Rik,1,13948.0698397152,6904.0443074124,285
3110035E14Rik,1,13944.5789477705,6930.31419535887,285
3110035E14Rik,1,13954.4050300999,6910.14027653713,285
3110035E14Rik,1,13990.91150594,6929.26808052157,290
3110035E14Rik,1,13992.2239613069,6925.82959536618,290
3110035E14Rik,1,14190.4881470659,6944.63776962473,294
3110035E14Rik,1,14589.5003149617,6918.1557094729,297
3110035E14Rik,1,13669.8354389168,6928.42407801241,299
3110035E14Rik,1,13903.4292869306,6934.32393419705,301
3110035E14Rik,1,14222.3146698134,6935.63199843488,304
3110035E14Rik,1,14454.6399818484,6943.93989978807,305
3110035E14Rik,1,14449.6100281248,6955.77532378535,305
3110035E14Rik,1,14449.0906886355,6953.37896541118,305
3110035E14Rik,1,14481.2280616824,6933.78165082952,308
3110035E14Rik,1,14542.4591999203,6952.64202772088,322
3110035E14Rik,1,13752.8157015544,6937.82191173539,311
3110035E14Rik,1,14147.1552866045,6944.117649253,312
3110035E14Rik,1,14061.7951357938,6942.84725888471,313
3110035E14Rik,1,14052.1731765777,6955.88805680424,313
3110035E14Rik,1,14051.0303955195,6963.99140452876,313
3110035E14Rik,1,14034.7773019299,6941.60910465198,313
3110035E14Rik,1,14041.0729388144,6938.8392146261,313
3110035E14Rik,1,14261.1918125334,6945.43090729026,314
3110035E14Rik,1,14246.9377843341,6944.82220617965,314
3110035E14Rik,1,14647.3080947664,6986.42179515484,323
3110035E14Rik,1,14883.154774268,6966.26952040935,347
3110035E14Rik,1,14885.8951595409,6961.36566023561,325
3110035E14Rik,1,14315.172550602,6969.85735439083,326
3110035E14Rik,1,14310.1223761412,6989.69364019302,326
3110035E14Rik,1,14299.800557697,6984.30661974464,326
3110035E14Rik,1,14297.654749525,6978.17322307043,326
3110035E14Rik,1,14309.1386970334,6979.71168518305,326
3110035E14Rik,1,14296.7308460785,6977.94562129001,326
3110035E14Rik,1,14318.7755598314,6979.95849839819,326
3110035E14Rik,1,14311.6898626993,6972.56572199373,326
3110035E14Rik,1,14571.743877844,6994.19084072935,366
3110035E14Rik,1,13763.5983342751,6985.8931882056,329
3110035E14Rik,1,13750.1502875204,6978.83284121333,329
3110035E14Rik,1,13832.1834991322,6981.99799701423,330
3110035E14Rik,1,13851.6504002855,6969.93969164075,330
3110035E14Rik,1,13833.2152398924,6977.5193593515,330
3110035E14Rik,1,13846.5283316974,6961.87194686413,330
3110035E14Rik,1,13974.3599971919,6946.61339467601,331
3110035E14Rik,1,14142.4661928568,6983.67797200849,3482
3110035E14Rik,1,14458.724726703,6981.78600807055,333
3110035E14Rik,1,14732.6395504595,6980.05091171595,334
3110035E14Rik,1,14733.6690146845,6997.89109537934,334
3110035E14Rik,1,14739.0669675732,6995.37524732156,334
3110035E14Rik,1,14741.4669665737,6981.10664148149,334
3110035E14Rik,1,13875.4236781914,6972.90373857588,338
3110035E14Rik,1,13886.1657804635,6982.3356647453,339
3110035E14Rik,1,13917.637344825,6990.47456998085,362
3110035E14Rik,1,13886.5712405567,6980.72256810725,339
3110035E14Rik,1,14082.7170419683,6982.47605681421,341
3110035E14Rik,1,14091.1129399388,6985.81712263981,341
3110035E14Rik,1,14095.2050652313,6987.58674079362,341
3110035E14Rik,1,14101.7486380444,6981.89386549319,341
3110035E14Rik,1,14094.4813996932,6974.10595626602,341
3110035E14Rik,1,14086.022829033,6982.88701717206,341
3110035E14Rik,1,14089.3127698987,6971.52751594826,341
3110035E14Rik,1,14087.3034428328,6989.94925233263,341
3110035E14Rik,1,14084.3776888123,6983.96538891618,341
3110035E14Rik,1,14200.6721759965,6973.06249967354,349
3110035E14Rik,1,14218.4789716827,6962.63780384915,342
3110035E14Rik,1,14272.4858917247,6981.1501629753,343
3110035E14Rik,1,14261.9588375891,6987.86509506549,343
3110035E14Rik,1,14877.3804530321,6978.60423763341,347
3110035E14Rik,1,14880.5698932067,6970.04740900188,347
3110035E14Rik,1,14833.6350171832,6980.41692079713,346
3110035E14Rik,1,14970.6370448367,6987.64004972289,354
3110035E14Rik,1,14971.5437517807,7003.19713019319,354
3110035E14Rik,1,13884.3969368548,6977.88157211071,339
3110035E14Rik,1,13682.8894013555,6994.16217785212,360
