Gene,Expt,y,x,neighbour
Atp1b1,1,18065.1156,10677.88506,2279
Calb1,2,18049.24239,10679.6778,2279
Calm2,3,18065.16487,10653.04378,2279
Calm2,3,18063.86386,10679.0194,2279
Calm2,3,18058.06812,10667.54869,2279
Calm2,3,18051.47418,10684.58726,2279
Calm2,3,18048.27257,10666.20393,2279
Col25a1,4,18048.73102,10674.07378,2279
Cplx2,5,18062.59374,10675.7806,2279
Enc1,6,18056.28496,10686.46033,2279
Gad1,7,18037.57903,10673.75142,2279
Gap43,8,18060.62517,10660.72723,2279
Grin3a,9,18039.90904,10668.45379,2279
Nrsn1,10,18057.7865,10659.24779,2279
Nrsn1,10,18061.77606,10655.35189,2279
Prkca,11,18058.53412,10668.81515,2279
Prkca,11,18050.20457,10668.45067,2279
Rasgrf2,12,18052.89712,10668.5807,2279
Satb1,13,18054.34773,10663.20066,2279
Satb1,13,18055.11514,10665.67824,2279
Scg2,14,18036.48537,10653.91578,2279
Slc24a2,15,18040.64411,10679.23517,2279
Slc24a2,15,18046.61862,10667.49372,2279
Slc24a2,15,18067.15437,10672.26453,2279
Sst,16,18050.5447,10675.50432,2279
Sst,16,18062.94568,10667.99725,2279
Sst,16,18044.00613,10675.98667,2279
Sst,16,18042.49466,10661.68104,2279
Sst,16,18047.74443,10658.81004,2279
Sst,16,18049.26672,10656.97409,2279
Sst,16,18042.23615,10667.66493,2279
Sst,16,18037.19942,10671.49517,2279
Sst,16,18054.68805,10685.08714,2279
Sst,16,18037.89202,10680.71189,2279
Sst,16,18039.1669,10650.99041,2279
Sst,16,18057.85602,10673.64037,2279
Sst,16,18049.24534,10665.2793,2279
Sst,16,18043.3587,10656.17663,2279
Sst,16,18032.52885,10662.45045,2279
Sst,16,18035.84472,10661.54315,2279
Sst,16,18049.35764,10646.87196,2279
Sst,16,18054.34963,10660.80677,2279
Sst,16,18050.61804,10671.80222,2279
Sst,16,18050.57833,10675.92404,2279
Sst,16,18033.39169,10674.47254,2279
Sst,16,18052.64542,10664.94673,2279
Sst,16,18068.19549,10665.09174,2279
Sst,16,18046.46733,10677.91893,2279
Sst,16,18053.33022,10661.03785,2279
Tmsb10,17,18045.26131,10667.03616,2279
Tmsb10,17,18063.47993,10665.04058,2279
Tmsb10,17,18044.37526,10687.80118,2279
