Gene,Expt,y,x,neighbour
3110035E14Rik,1,14215.5868386143,6329.25235122451,86
3110035E14Rik,1,14103.8460159425,6840.25327036944,245
3110035E14Rik,1,14112.6755134588,6885.99427056539,268
3110035E14Rik,1,14838.3546711005,6906.7697287338,276
3110035E14Rik,1,14585.9485571197,6901.25339410008,282
3110035E14Rik,1,13983.1862499825,6929.97644992606,290
3110035E14Rik,1,14813.1099087716,6921.87207351163,292
3110035E14Rik,1,14168.5014870809,6930.01389611945,294
3110035E14Rik,1,13916.8760246438,6935.79731223946,301
3110035E14Rik,1,14446.4703293213,6956.52143174287,305
3110035E14Rik,1,14441.373594749,6947.32931456322,305
3110035E14Rik,1,14254.6836869934,6918.50351118207,307
3110035E14Rik,1,14039.4195625706,6962.42845621122,313
3110035E14Rik,1,14684.3541523966,6948.50118038224,321
3110035E14Rik,1,14858.4898091767,6965.56855416786,325
3110035E14Rik,1,13775.9032020252,6976.0129085004,315
3110035E14Rik,1,13819.5304054365,6949.71358526636,3482
3110035E14Rik,1,13987.3708575703,6959.74057532565,318
3110035E14Rik,1,14112.241285244,6976.94157035131,337
3110035E14Rik,1,14475.9216359601,6969.45204151913,333
3110035E14Rik,1,14733.461698277,6975.88015585351,334
3110035E14Rik,1,13871.4838745821,6950.37640236806,338
3110035E14Rik,1,13858.831320409,6965.38146592031,338
3110035E14Rik,1,14881.6787150344,6992.39364833666,368
3110035E14Rik,1,14559.698928618,6989.6269117051,357
3110035E14Rik,1,14795.7538398006,6986.38723906562,367
3110035E14Rik,1,14352.9822314298,7002.28714113971,371
3110035E14Rik,1,14197.4346098555,7021.49312125727,373
3110035E14Rik,1,13997.7083098872,7013.87279082819,376
3110035E14Rik,1,15021.1469687765,6999.55882865861,378
3110035E14Rik,1,14614.5774160844,7026.13513107766,392
3110035E14Rik,1,14641.8575660612,7032.7689775925,392
3110035E14Rik,1,14636.6655625097,7020.59797194367,392
3110035E14Rik,1,14635.0667397486,7032.49510594436,392
3110035E14Rik,1,13879.5433870839,7022.26920107217,395
3110035E14Rik,1,14072.9825823598,7023.71627372836,396
3110035E14Rik,1,13681.6190804926,7029.791361502,409
3110035E14Rik,1,14204.6182865394,7061.01354556413,420
3110035E14Rik,1,14931.5374034515,7050.73798235881,430
3110035E14Rik,1,14920.7979085614,7051.15733478453,430
3110035E14Rik,1,14561.3325251005,7068.94906184214,437
3110035E14Rik,1,14704.9318863777,7075.80421417533,442
3110035E14Rik,1,14503.0573832201,7060.39008780745,445
3110035E14Rik,1,14476.1741923361,7083.59067316726,446
3110035E14Rik,1,13879.1056235761,7093.84858303774,466
3110035E14Rik,1,14913.8601801402,7117.94397579338,472
3110035E14Rik,1,14912.1957447437,7104.06324567396,472
3110035E14Rik,1,14425.932287735,7092.83025974697,474
3110035E14Rik,1,14812.6942897058,7104.97079950639,476
3110035E14Rik,1,13784.2787287585,7099.98395957362,482
3110035E14Rik,1,14702.3766640211,7123.42288628125,483
3110035E14Rik,1,14685.2991134172,7129.57540134036,483
3110035E14Rik,1,15029.816288237,7128.16379889487,486
3110035E14Rik,1,15035.0049795575,7131.7012817923,487
3110035E14Rik,1,15063.4452346901,7137.94237849796,491
3110035E14Rik,1,15258.3451165093,7158.8568861114,505
3110035E14Rik,1,13827.5195528556,7153.26018482535,506
3110035E14Rik,1,13771.197592852,7144.71047284818,509
3110035E14Rik,1,14401.2170614047,7169.6472348048,516
3110035E14Rik,1,14953.994226459,7191.83914473447,525
3110035E14Rik,1,15053.9055047276,7196.52822720488,527
3110035E14Rik,1,15027.9255362443,7196.42028508802,527
3110035E14Rik,1,14777.7109065694,7174.84220817082,521
3110035E14Rik,1,14506.5500915471,7202.43185934488,540
3110035E14Rik,1,15328.6612220498,7236.05832407033,556
3110035E14Rik,1,14997.4884328111,7238.83158613632,564
3110035E14Rik,1,15392.5357360032,7262.99679716642,567
3110035E14Rik,1,15381.89145399,7262.90847704317,567
3110035E14Rik,1,14914.6147758712,7232.52245228176,568
3110035E14Rik,1,15513.8699623746,7244.15578343125,569
3110035E14Rik,1,15130.8671733122,7252.95707409914,571
3110035E14Rik,1,15240.0148899772,7248.91049399506,574
3110035E14Rik,1,15040.9311137583,7250.30067479617,575
3110035E14Rik,1,15302.3346297125,7257.11060761986,580
3110035E14Rik,1,15201.7710821414,7238.808660236,585
3110035E14Rik,1,15407.8979981674,7275.62531935166,594
3110035E14Rik,1,15202.623630207,7296.2512336017,596
3110035E14Rik,1,15261.0152049839,7323.16327439703,625
3110035E14Rik,1,15473.6595275956,7332.75974525425,627
3110035E14Rik,1,15269.9508171989,7353.11881351529,625
3110035E14Rik,1,14270.1535045462,7384.69524561167,653
3110035E14Rik,1,15122.4943830496,7368.75882137781,661
3110035E14Rik,1,15637.8786575005,7385.73222848825,664
3110035E14Rik,1,15639.087376584,7377.72250169599,664
3110035E14Rik,1,15668.3337667073,7377.98560107793,664
3110035E14Rik,1,15808.4318767038,7368.06500114576,669
3110035E14Rik,1,15801.7014290334,7399.51569274203,669
3110035E14Rik,1,15501.9252664047,7408.64243122866,687
3110035E14Rik,1,15480.4175642383,7414.90407175523,670
3110035E14Rik,1,15484.4267568581,7401.36961082494,670
3110035E14Rik,1,15730.8840589386,7408.44194875671,671
3110035E14Rik,1,15766.6346835047,7423.99622854991,681
3110035E14Rik,1,15683.1907823363,7426.09583746243,683
3110035E14Rik,1,15700.6420529401,7412.09134565899,683
3110035E14Rik,1,15708.8988569882,7418.78926010363,683
3110035E14Rik,1,15366.0250921624,7419.43201110885,686
3110035E14Rik,1,15366.1697400458,7412.31415472865,686
3110035E14Rik,1,15417.4543064348,7429.56138093266,697
3110035E14Rik,1,15707.2388528561,7449.32532742081,702
3110035E14Rik,1,15678.461651621,7486.67976267215,727
3110035E14Rik,1,15937.8955773496,7486.5069983675,728
3110035E14Rik,1,15802.5538970776,7504.92790058694,729
3110035E14Rik,1,15754.9245633697,7492.01322178652,732
3110035E14Rik,1,15977.3323687141,7521.45704420183,742
3110035E14Rik,1,15973.0078324238,7511.96132963729,742
3110035E14Rik,1,15806.3939237274,7529.44944051318,743
3110035E14Rik,1,15838.4367662357,7561.03496089791,764
3110035E14Rik,1,15829.1628347508,7549.94015537839,764
3110035E14Rik,1,15901.7736101859,7530.18425701631,765
3110035E14Rik,1,15846.3419614437,7543.69108980665,767
3110035E14Rik,1,15949.4480023826,7604.68783623276,811
3110035E14Rik,1,16108.2216484207,7611.87274255893,827
3110035E14Rik,1,16022.2809002122,7654.37707550804,822
3110035E14Rik,1,16376.2105481086,7633.0844252307,825
3110035E14Rik,1,16043.9238317968,7646.2410062284,842
3110035E14Rik,1,16167.2075897257,7662.78561513276,850
3110035E14Rik,1,16126.6334795533,7691.90900299435,875
3110035E14Rik,1,16088.8689352879,7704.19380493174,860
3110035E14Rik,1,16118.2379962595,7702.80321034242,875
3110035E14Rik,1,16130.079631962,7730.3376305922,880
3110035E14Rik,1,16274.1421332779,7769.31310373374,891
3110035E14Rik,1,16295.1575012976,7760.66349834546,891
3110035E14Rik,1,16268.0171271018,7758.30751388029,891
3110035E14Rik,1,16243.6397461306,7770.71986267486,895
3110035E14Rik,1,16229.6459022941,7787.39796805434,914
3110035E14Rik,1,16122.6642923137,7793.27401562659,921
3110035E14Rik,1,16223.794338195,7855.49382285253,945
3110035E14Rik,1,16372.3292538452,7860.44280527047,961
3110035E14Rik,1,16264.2612580768,7871.20656592683,967
3110035E14Rik,1,16333.1264696006,7934.82992564902,984
3110035E14Rik,1,16464.6628696517,7972.061787902,997
3110035E14Rik,1,16445.4696235287,7963.71733798964,1010
3110035E14Rik,1,16542.8432654242,7967.09587031871,1014
3110035E14Rik,1,16411.3780738101,7989.56952397201,1016
3110035E14Rik,1,16399.5356241479,7964.3052747018,1016
3110035E14Rik,1,16444.3981343277,8021.97173489291,1037
3110035E14Rik,1,16433.6959776105,8026.59238519369,1037
3110035E14Rik,1,16429.8223546807,8038.69446941271,1037
3110035E14Rik,1,16455.5196477189,8033.83775705402,1037
3110035E14Rik,1,16517.5163470685,8044.70800882478,1046
3110035E14Rik,1,16616.7660175265,8030.04143757523,1047
3110035E14Rik,1,16536.9535344748,8083.50162981202,1069
3110035E14Rik,1,16718.551493339,8095.81268927044,1081
3110035E14Rik,1,16635.8874867272,8114.13564081877,1083
3110035E14Rik,1,16658.704489781,8140.18497321929,1108
3110035E14Rik,1,16677.3928284172,8150.62128624694,1108
3110035E14Rik,1,16670.6126313261,8161.21621829784,1108
3110035E14Rik,1,16667.130609094,8154.09887074607,1108
3110035E14Rik,1,16538.0363792944,8176.25096073152,1115
3110035E14Rik,1,16644.493513858,8185.14267460757,1116
3110035E14Rik,1,16676.7444928724,8204.07438542746,1121
3110035E14Rik,1,16817.3428604666,8171.84797921054,1126
3110035E14Rik,1,16813.2056435089,8199.15592647564,1126
3110035E14Rik,1,16699.6336337138,8208.43492676448,1133
3110035E14Rik,1,16776.2704994613,8219.26603066246,1148
3110035E14Rik,1,16703.2391933676,8262.79617392222,1163
3110035E14Rik,1,16674.3346898667,8282.63167123469,1174
3110035E14Rik,1,16789.9222555974,8282.38098184894,1180
3110035E14Rik,1,16785.9999387904,8291.83870148945,1180
3110035E14Rik,1,16804.0393451224,8312.72387159267,1190
3110035E14Rik,1,16748.5961166361,8363.83065635759,1216
3110035E14Rik,1,17035.5754914403,8393.27546124998,1230
3110035E14Rik,1,16872.079636036,8399.27065464691,1234
3110035E14Rik,1,16892.6141110786,8418.96269015721,1241
3110035E14Rik,1,16897.9498602381,8430.52920219504,1241
3110035E14Rik,1,16851.51974381,8460.69438311617,1253
3110035E14Rik,1,16988.4234556761,8457.81562227767,1256
3110035E14Rik,1,16902.2680135303,8499.39188523802,1270
3110035E14Rik,1,16937.7827180222,8574.79296190828,1304
3110035E14Rik,1,17110.0138817907,8634.12091828927,1342
3110035E14Rik,1,17004.3131004842,8661.92231467995,1351
3110035E14Rik,1,17049.2664811311,8652.97363626721,1357
3110035E14Rik,1,17088.0546802319,8669.17384107123,1364
3110035E14Rik,1,17224.7183430568,8671.43817028338,1371
3110035E14Rik,1,17215.4232109376,8664.61596061781,1371
3110035E14Rik,1,17237.5513124408,8672.63018286887,1363
3110035E14Rik,1,17005.4193835346,8683.50664058995,1381
3110035E14Rik,1,17429.1839950888,8754.81271934334,1416
3110035E14Rik,1,17749.1028668719,8858.19212538627,1454
3110035E14Rik,1,17145.8707620779,8869.8134517464,1455
