Gene,Expt,y,x,neighbour
3110035E14Rik,1,14645.763678786,6305.06136324816,60
3110035E14Rik,1,14709.22034479,6588.20514804382,177
3110035E14Rik,1,14470.5851968915,6872.87086487957,255
3110035E14Rik,1,14459.7615889467,6874.98462451562,255
3110035E14Rik,1,14389.0247583947,6883.47637217425,257
3110035E14Rik,1,14402.4914943755,6885.68408708331,259
3110035E14Rik,1,13979.6888091309,6873.26389308741,260
3110035E14Rik,1,13977.5112747329,6884.30757044894,260
3110035E14Rik,1,13769.4604504961,6889.77816156261,283
3110035E14Rik,1,14313.3289323722,6891.22211539959,281
3110035E14Rik,1,14586.6396682695,6879.6054646487,282
3110035E14Rik,1,14584.2208325099,6902.57313475227,282
3110035E14Rik,1,14516.7153254802,6889.253173114,284
3110035E14Rik,1,14512.2714100224,6886.36953941471,284
3110035E14Rik,1,13948.8102549234,6913.76894992345,285
3110035E14Rik,1,13992.903504034,6919.83970807523,290
3110035E14Rik,1,14002.9869744511,6909.11977057586,290
3110035E14Rik,1,14174.7188474306,6926.53876632888,294
3110035E14Rik,1,14586.8650290361,6924.46770326879,297
3110035E14Rik,1,13657.8470384886,6913.31906409807,299
3110035E14Rik,1,13928.1922427035,6929.87553482552,301
3110035E14Rik,1,14444.40236657,6943.30199602991,305
3110035E14Rik,1,14456.42011349,6953.49265033157,305
3110035E14Rik,1,14446.7770115974,6940.66760639768,305
3110035E14Rik,1,14477.9361299116,6949.37896708267,308
3110035E14Rik,1,14154.0479679864,6932.72426676922,312
3110035E14Rik,1,14030.5797000059,6949.90351949652,313
3110035E14Rik,1,14030.1579791879,6951.89480321338,313
3110035E14Rik,1,14045.2027284972,6963.63227566849,313
3110035E14Rik,1,14032.3375337287,6944.02140383721,313
3110035E14Rik,1,14042.3788918647,6964.02295625097,313
3110035E14Rik,1,14237.3478911968,6942.90448931197,314
3110035E14Rik,1,13978.6403203861,6955.72162048786,344
3110035E14Rik,1,14624.4015112099,6965.58708538752,323
3110035E14Rik,1,14884.1629918814,6968.85766540046,325
3110035E14Rik,1,14307.6458452497,6985.66142895873,326
3110035E14Rik,1,14311.0064631164,6970.46134690414,326
3110035E14Rik,1,14314.1832329433,6979.48368279773,326
3110035E14Rik,1,14305.9073463092,6994.76257301019,326
3110035E14Rik,1,14316.6043975516,6977.10881913451,326
3110035E14Rik,1,14557.6541353337,6975.6761961425,357
3110035E14Rik,1,13766.4105306369,6984.26511706631,329
3110035E14Rik,1,13842.258069116,6972.17317221362,330
3110035E14Rik,1,13842.3763873731,6970.90761172429,330
3110035E14Rik,1,13841.4453546926,6962.18802812713,330
3110035E14Rik,1,13836.2237743682,6968.71413119298,330
3110035E14Rik,1,13988.8268439272,6971.60795763001,344
3110035E14Rik,1,13906.7836784679,6979.69345096854,339
3110035E14Rik,1,13884.3742599872,6978.26147289706,339
3110035E14Rik,1,14098.8443952115,6985.38932943532,341
3110035E14Rik,1,14083.5160460484,6976.50120266601,341
3110035E14Rik,1,14092.8982291672,6987.42041884883,341
3110035E14Rik,1,14081.360447494,6984.36196095453,341
3110035E14Rik,1,14093.1051941996,6986.13839175934,341
3110035E14Rik,1,14088.4789132886,6987.09216156351,341
3110035E14Rik,1,14085.5883444751,6971.5664893176,341
3110035E14Rik,1,14214.0560070898,6951.21727882273,304
3110035E14Rik,1,14217.1748469809,6983.71486916543,361
3110035E14Rik,1,14276.5846200148,6977.51883402231,343
3110035E14Rik,1,14276.4285990052,6984.09920597674,343
3110035E14Rik,1,14825.2718957109,6966.27409204934,353
3110035E14Rik,1,14968.8607037199,7011.63421193456,354
