Gene,Expt,y,x,neighbour
6330403K07Rik,1,14166.0884176331,6189.38508436865,16
6330403K07Rik,1,14148.1512649695,6171.02246196948,7
6330403K07Rik,1,13652.8337900828,6218.72400575373,24
6330403K07Rik,1,14431.8657689708,6371.20184805222,105
6330403K07Rik,1,15048.9708504869,6437.59532501357,126
6330403K07Rik,1,15044.7969201739,6436.68362477772,126
6330403K07Rik,1,14956.2226566073,6442.49903213266,3482
6330403K07Rik,1,15317.8923078351,6560.66006521446,162
6330403K07Rik,1,14136.5248314571,6552.40775809203,168
6330403K07Rik,1,14765.4794002509,6574.81251566577,169
6330403K07Rik,1,14698.6932761609,6607.02204680721,177
6330403K07Rik,1,14709.7323176637,6609.10288071144,177
6330403K07Rik,1,13988.2742100129,6738.90679743919,223
6330403K07Rik,1,13978.9928303292,6748.01062142556,223
6330403K07Rik,1,13981.1720430819,6760.74128206408,223
6330403K07Rik,1,13999.9850330632,6761.54389101411,223
6330403K07Rik,1,15385.4852766986,6776.01720548522,229
6330403K07Rik,1,15042.2410471354,6806.7137626266,233
6330403K07Rik,1,15838.4294091391,6816.34924668165,238
6330403K07Rik,1,13791.7868355419,6836.43687294655,242
6330403K07Rik,1,13782.1989208646,6823.08340861962,242
6330403K07Rik,1,13518.1374539952,6841.94070849595,243
6330403K07Rik,1,13534.4242619634,6846.00884366079,243
6330403K07Rik,1,13516.2436165004,6850.20955766766,243
6330403K07Rik,1,13536.6225401551,6817.12804686095,243
6330403K07Rik,1,13540.1461040963,6828.06440386271,243
6330403K07Rik,1,14101.085665573,6844.38953422233,245
6330403K07Rik,1,14098.6724347489,6844.80334237743,245
6330403K07Rik,1,14096.2090502596,6843.55071696614,245
6330403K07Rik,1,14692.0544790306,6836.00434581595,246
6330403K07Rik,1,14693.0982622231,6835.23345973197,246
6330403K07Rik,1,14251.706938532,6837.24406179054,248
6330403K07Rik,1,14317.7852454226,6878.09397531241,256
6330403K07Rik,1,14307.8159498879,6879.56133519171,256
6330403K07Rik,1,14380.970408043,6873.35714396518,257
6330403K07Rik,1,14389.7937324725,6847.52290124372,257
6330403K07Rik,1,14366.6446314657,6867.75697237072,257
6330403K07Rik,1,14389.1854196872,6864.55867292758,257
6330403K07Rik,1,14381.3813429212,6857.20513386244,257
6330403K07Rik,1,14406.3484106689,6856.04751897531,257
6330403K07Rik,1,14383.6815889712,6879.62478269246,257
6330403K07Rik,1,14376.5890005755,6874.12295093338,257
6330403K07Rik,1,14369.6637006148,6854.93170570034,257
6330403K07Rik,1,14424.0805421516,6879.49970751848,259
6330403K07Rik,1,14401.051218644,6880.56882737363,259
6330403K07Rik,1,14421.043274966,6881.72213844105,259
