Gene,Expt,y,x,neighbour
3110035E14Rik,1,13044.3008475841,6260.74829408131,48
3110035E14Rik,1,15169.7613436678,6564.30024227258,170
3110035E14Rik,1,15302.8826976201,6658.46721240363,193
3110035E14Rik,1,14102.8224012929,6828.2690620175,245
3110035E14Rik,1,14247.0994736496,6850.56358847362,248
3110035E14Rik,1,14466.9315650057,6875.48461921399,255
3110035E14Rik,1,14470.0281306743,6854.71989130832,255
3110035E14Rik,1,14467.283467773,6877.4463368283,255
3110035E14Rik,1,14471.019623971,6871.13332372179,255
3110035E14Rik,1,14473.9599714015,6860.33203191593,255
3110035E14Rik,1,14459.9061661377,6856.77698680674,255
3110035E14Rik,1,14411.3368021443,6896.35089566636,259
3110035E14Rik,1,13766.3627570692,6872.45498628279,267
3110035E14Rik,1,13760.6773416781,6883.08544789701,267
3110035E14Rik,1,13751.7293772535,6893.62730596265,274
3110035E14Rik,1,14135.1820650658,6879.24564046622,268
3110035E14Rik,1,13911.761913276,6918.10542625466,301
3110035E14Rik,1,14839.9674277992,6907.83925489002,276
3110035E14Rik,1,14250.0374301333,6909.64633373125,278
3110035E14Rik,1,14237.9157009797,6900.04597368356,278
3110035E14Rik,1,14308.7099872907,6891.06845541684,281
3110035E14Rik,1,14320.1440103648,6886.24830157715,281
3110035E14Rik,1,14316.5612322188,6882.35449847461,281
3110035E14Rik,1,14309.4986896163,6897.49165701082,281
3110035E14Rik,1,14328.5331326332,6896.17994340346,281
3110035E14Rik,1,14327.4681437848,6892.94566507242,281
3110035E14Rik,1,14319.6567813019,6886.4008935465,281
3110035E14Rik,1,14321.8301738773,6892.05582375707,281
3110035E14Rik,1,14582.751861168,6887.62752056453,282
3110035E14Rik,1,13779.5820350215,6905.64256671236,283
3110035E14Rik,1,13783.8955906523,6913.23972791957,288
3110035E14Rik,1,13986.3330648254,6938.96791789707,290
3110035E14Rik,1,14383.680189801,6935.34178520534,291
3110035E14Rik,1,14390.0956040409,6928.67640264117,291
3110035E14Rik,1,14371.9916769097,6933.54259583104,291
3110035E14Rik,1,14377.5045574859,6916.56972477651,291
3110035E14Rik,1,14628.2817996625,6931.14719163377,293
3110035E14Rik,1,14590.0712651093,6928.76166031527,297
3110035E14Rik,1,14575.7898690598,6930.05873349756,297
3110035E14Rik,1,14446.9457419345,6943.32413254033,305
3110035E14Rik,1,14453.6159622505,6946.6145513619,305
3110035E14Rik,1,14448.9212240238,6957.82656938859,305
3110035E14Rik,1,14492.1560803469,6928.72492904231,308
3110035E14Rik,1,14537.9503576615,6936.17558938988,300
3110035E14Rik,1,13659.4195554693,6949.56283612903,310
3110035E14Rik,1,14157.285908341,6943.32808770644,312
3110035E14Rik,1,14044.9885860642,6966.71008052062,313
3110035E14Rik,1,13769.8138473662,6947.63722205855,311
3110035E14Rik,1,13769.975678065,6962.90486164769,315
3110035E14Rik,1,13785.6996749909,6949.45669543341,315
3110035E14Rik,1,14005.1412978419,6960.10620426285,318
3110035E14Rik,1,14009.5354542788,6974.7879595735,344
3110035E14Rik,1,13995.6466690364,6953.37738013952,318
3110035E14Rik,1,14671.8149975441,6971.68724092602,321
3110035E14Rik,1,14541.3106396096,6966.55063905652,322
3110035E14Rik,1,14628.7452598978,6964.90871660079,323
3110035E14Rik,1,14854.3809220323,6959.54823609451,325
3110035E14Rik,1,14877.1717998678,6950.96452426637,325
3110035E14Rik,1,13759.4261404152,6982.93791476103,329
3110035E14Rik,1,14128.0451197415,6959.45572944192,332
3110035E14Rik,1,15981.6006892761,6973.01951359465,335
3110035E14Rik,1,13876.2763100787,6975.14452380542,338
3110035E14Rik,1,13878.0459711631,6979.19226939277,359
3110035E14Rik,1,14211.1342652711,6971.57207736689,342
3110035E14Rik,1,14208.9992230138,6975.39416310067,342
3110035E14Rik,1,13952.4675098085,6978.24761836623,351
3110035E14Rik,1,13975.4648529559,6996.0645431741,376
3110035E14Rik,1,14830.2526218008,6981.830559196,353
3110035E14Rik,1,14835.9951936751,6980.68666301493,346
3110035E14Rik,1,14823.886013875,6966.33560359627,353
3110035E14Rik,1,14971.8613957577,6999.50311177854,354
3110035E14Rik,1,14968.9343797885,6995.23963495009,354
3110035E14Rik,1,14971.2195801743,7005.80485099108,354
3110035E14Rik,1,14960.1731925506,6985.56024307133,354
3110035E14Rik,1,14973.3709649732,6975.74156516022,354
3110035E14Rik,1,14969.2027401909,6996.35216929304,354
3110035E14Rik,1,14949.418087914,6987.0316863611,354
3110035E14Rik,1,14414.7525077889,6981.32908243534,356
3110035E14Rik,1,14403.187321736,6985.25833164778,356
3110035E14Rik,1,13686.6118410069,7008.21424475451,375
3110035E14Rik,1,13686.8261088813,6983.39644099901,360
3110035E14Rik,1,13671.1342813698,6999.75657628692,375
3110035E14Rik,1,13682.703283283,6980.39803682961,360
3110035E14Rik,1,13906.3161457766,6981.84233008211,339
3110035E14Rik,1,14178.9379786345,6990.12330932521,364
3110035E14Rik,1,14201.915548427,7004.70479749628,373
3110035E14Rik,1,13994.0457355361,7012.5531252968,376
3110035E14Rik,1,15015.2391129239,7021.79936119471,378
3110035E14Rik,1,15016.9390239623,7011.50919985017,378
3110035E14Rik,1,15017.4270106087,7010.67276673093,378
3110035E14Rik,1,16062.0078976361,7014.76240747656,379
3110035E14Rik,1,14035.3074446228,6997.41579955532,382
3110035E14Rik,1,14323.9375207425,7006.17371359881,386
3110035E14Rik,1,14318.5493747645,7021.63425891197,386
3110035E14Rik,1,14331.7807408643,7016.86148667749,386
3110035E14Rik,1,14518.4586065487,7022.78285920924,404
3110035E14Rik,1,14558.9201349728,7024.63637708436,393
3110035E14Rik,1,14572.433748997,7046.62075839495,393
3110035E14Rik,1,14560.5015034774,7041.83870077627,393
3110035E14Rik,1,14564.4375199387,7041.50191504806,393
3110035E14Rik,1,14896.2300236233,7021.64775324138,394
3110035E14Rik,1,14890.0366726272,7028.43971697968,394
3110035E14Rik,1,14088.8530967246,7020.75978551433,396
3110035E14Rik,1,14066.0624594241,7026.94482713902,390
