Gene,Expt,y,x,neighbour
3110035E14Rik,1,13041.6313439412,6279.17186561959,48
3110035E14Rik,1,14693.595053685,6596.51813680522,177
3110035E14Rik,1,15304.7239484076,6655.51922405859,193
3110035E14Rik,1,14094.0436185955,6835.33870346224,245
3110035E14Rik,1,14235.1413445904,6854.55963219941,248
3110035E14Rik,1,14480.685986869,6865.17785202413,255
3110035E14Rik,1,14467.433148669,6873.67021803781,255
3110035E14Rik,1,14472.035418247,6873.03804170683,255
3110035E14Rik,1,14472.1269710947,6864.99801848388,255
3110035E14Rik,1,14480.920573949,6859.11012625639,255
3110035E14Rik,1,14480.3190393108,6865.03763343016,255
3110035E14Rik,1,14626.0577569608,6874.10997126872,258
3110035E14Rik,1,14394.2925155752,6857.38012000494,257
3110035E14Rik,1,13667.9877265107,6877.21995514979,262
3110035E14Rik,1,13761.442615704,6879.52750843223,267
3110035E14Rik,1,13760.0433917641,6872.64407871188,267
3110035E14Rik,1,13761.5851985085,6884.29674868681,267
3110035E14Rik,1,14126.4784014877,6873.12198920649,268
3110035E14Rik,1,13898.5037482448,6911.35598314512,271
3110035E14Rik,1,14827.4758621049,6887.8111123927,276
3110035E14Rik,1,14220.8711642586,6903.55183749807,278
3110035E14Rik,1,14248.4903877654,6904.83356802492,278
3110035E14Rik,1,14604.3393397039,6898.31269829313,280
3110035E14Rik,1,14314.7371292474,6900.10644812501,281
3110035E14Rik,1,14337.4505642234,6895.21209301769,281
3110035E14Rik,1,14316.7040912062,6891.76308218976,281
3110035E14Rik,1,14313.188590225,6907.81132463417,281
3110035E14Rik,1,14319.0149370608,6892.79737054309,281
3110035E14Rik,1,14305.4758165029,6893.70027507374,281
3110035E14Rik,1,14330.2801994332,6898.91428147544,281
3110035E14Rik,1,14304.7612950133,6886.94347111325,281
3110035E14Rik,1,14594.2346807904,6897.42266302521,280
3110035E14Rik,1,13776.3131740792,6894.22827366622,283
3110035E14Rik,1,13792.8252517921,6914.44545314477,288
3110035E14Rik,1,13995.8696342857,6907.4380861537,290
3110035E14Rik,1,14365.0905717034,6922.40573480021,291
3110035E14Rik,1,14367.8941363705,6924.40539730316,291
3110035E14Rik,1,14368.5954607819,6915.67297147195,291
3110035E14Rik,1,14362.7185559274,6913.38793253815,291
3110035E14Rik,1,14642.185739657,6920.46664714471,293
3110035E14Rik,1,14569.5244850801,6919.76635861339,297
3110035E14Rik,1,14562.1531819972,6926.88814933319,297
3110035E14Rik,1,14445.2445955861,6929.19593832584,305
3110035E14Rik,1,14436.0046392171,6957.70680802179,305
3110035E14Rik,1,14438.3930940096,6945.31675603776,305
3110035E14Rik,1,14490.171028501,6935.37611979893,308
3110035E14Rik,1,14540.7871519004,6942.94065729054,309
3110035E14Rik,1,13684.0814833289,6948.48358947092,310
3110035E14Rik,1,14159.6918098328,6926.01048711206,312
3110035E14Rik,1,14041.4799247011,6963.24285886033,313
3110035E14Rik,1,13781.2369742669,6967.75598966044,315
3110035E14Rik,1,13769.3185351114,6954.54725891823,315
3110035E14Rik,1,13773.2973884994,6952.82153401786,315
3110035E14Rik,1,13994.7780792462,6946.3434242745,318
3110035E14Rik,1,13996.2203311234,6952.87691173564,318
3110035E14Rik,1,13993.0307068848,6963.74382921951,344
3110035E14Rik,1,14676.6931793278,6970.86057930076,321
3110035E14Rik,1,14546.5628643123,6970.73659231894,322
3110035E14Rik,1,14642.8831297307,6962.29745223432,323
3110035E14Rik,1,14864.2209395511,6975.33996819187,325
3110035E14Rik,1,14872.5939107635,6968.06639799104,325
