Gene,Expt,y,x,neighbour
3110035E14Rik,1,13903.7917971825,6186.22698477695,17
3110035E14Rik,1,13688.4295914437,6254.32519906322,39
3110035E14Rik,1,13655.3332741618,6285.01183057573,63
3110035E14Rik,1,15308.8776842673,6646.4020515494,193
3110035E14Rik,1,15720.6557922108,6805.3949694834,3482
3110035E14Rik,1,14107.8780859714,6843.70719969347,245
3110035E14Rik,1,14223.3268480859,6831.95952740739,248
3110035E14Rik,1,14477.7849133501,6869.2630702419,255
3110035E14Rik,1,14474.5641394852,6870.24483420248,255
3110035E14Rik,1,14476.6578633396,6869.46654788752,255
3110035E14Rik,1,14455.7465158941,6859.26294312126,255
3110035E14Rik,1,14461.7174466187,6868.81866445167,255
3110035E14Rik,1,14455.4409819129,6886.51567906583,255
3110035E14Rik,1,14385.5478569102,6879.6813738794,257
3110035E14Rik,1,13755.3118175615,6891.34308765201,274
3110035E14Rik,1,13771.1439542863,6881.6203931349,267
3110035E14Rik,1,13758.1532968739,6884.00451115781,267
3110035E14Rik,1,14126.8116941572,6889.24008432612,268
3110035E14Rik,1,13894.5392818427,6887.08447234686,271
3110035E14Rik,1,14834.9152139226,6902.02125162399,276
3110035E14Rik,1,14233.316612804,6897.46790397755,278
3110035E14Rik,1,14248.6949084014,6896.31368520454,278
3110035E14Rik,1,14327.5786473406,6899.45321743097,281
3110035E14Rik,1,14304.0296947815,6890.2955908083,281
3110035E14Rik,1,14317.7233260613,6888.76068234832,281
3110035E14Rik,1,14316.0982758164,6914.49564194974,281
3110035E14Rik,1,14320.7952583719,6906.99554398124,281
3110035E14Rik,1,14292.8641946328,6897.81941757834,281
3110035E14Rik,1,14304.4547558322,6892.38470337382,281
3110035E14Rik,1,14333.5403786463,6899.30527876937,281
3110035E14Rik,1,14580.8824040031,6891.97599784837,282
3110035E14Rik,1,13754.3548343013,6909.65520431944,274
3110035E14Rik,1,13805.0242403854,6906.57731915758,275
3110035E14Rik,1,13997.0242189622,6928.63844070436,290
3110035E14Rik,1,14369.2793103862,6932.04917048569,291
3110035E14Rik,1,14370.9737933879,6933.68706190476,291
3110035E14Rik,1,14354.07749261,6928.94627613768,291
3110035E14Rik,1,14384.9193472761,6930.09101664115,291
3110035E14Rik,1,14626.8704934896,6934.10277058257,293
3110035E14Rik,1,14565.3474988309,6907.10956988726,282
3110035E14Rik,1,14587.5658895811,6923.15791938173,297
3110035E14Rik,1,14456.2863567158,6942.07709220708,305
3110035E14Rik,1,14442.7675169309,6944.79863845441,305
3110035E14Rik,1,14437.0084334487,6925.57131666294,305
3110035E14Rik,1,14485.1226193121,6931.99331967958,308
3110035E14Rik,1,14543.7683687613,6949.79299618621,322
3110035E14Rik,1,13694.9790111519,6951.74371880561,310
3110035E14Rik,1,14150.973371994,6925.64571205315,312
3110035E14Rik,1,14043.1420028123,6953.6013794829,313
3110035E14Rik,1,13784.9733473815,6958.87099442406,315
3110035E14Rik,1,13773.2325499951,6962.08429697247,315
3110035E14Rik,1,13766.7835449049,6962.0136985846,315
3110035E14Rik,1,13995.9104045452,6952.48949594254,318
3110035E14Rik,1,13991.0237040397,6945.30337112112,318
3110035E14Rik,1,13998.5873308668,6951.48287773572,318
3110035E14Rik,1,14679.345671864,6956.8085369881,321
3110035E14Rik,1,14544.225055933,6962.21226444646,322
3110035E14Rik,1,14646.4123221205,6985.44610197303,323
3110035E14Rik,1,14866.3164053324,6952.58603135154,325
3110035E14Rik,1,14851.2804202902,6952.00346215303,325
3110035E14Rik,1,13752.7569231943,6981.36267843517,329
3110035E14Rik,1,14119.7511887866,6952.07914183977,332
3110035E14Rik,1,16010.7324386218,6962.40729934649,3482
3110035E14Rik,1,13871.3235781078,6977.58804019633,359
3110035E14Rik,1,13876.0922794602,6967.87578225323,338
3110035E14Rik,1,14188.9136676487,6970.63794827676,349
3110035E14Rik,1,14194.3957187635,6977.7339365676,349
3110035E14Rik,1,13966.4193456053,6960.6620330509,331
3110035E14Rik,1,13954.1668430313,6969.33610718561,351
3110035E14Rik,1,14819.6733161965,6976.6165124088,353
3110035E14Rik,1,14821.7067706284,6967.07765748081,353
3110035E14Rik,1,14816.0788101874,6989.56257509066,370
3110035E14Rik,1,14961.0418959408,7014.68039538054,354
3110035E14Rik,1,14971.0173400694,6990.95297761294,354
3110035E14Rik,1,14965.3672914877,6995.54594993708,354
3110035E14Rik,1,14979.2455388655,6994.35811079967,354
3110035E14Rik,1,14958.8343338913,6986.18543163292,354
3110035E14Rik,1,14959.2949265942,6990.98658708049,354
3110035E14Rik,1,14975.5962477987,7000.02161397978,354
3110035E14Rik,1,14431.6842741986,6970.19638953777,345
3110035E14Rik,1,14393.9334063815,6976.73464103928,340
3110035E14Rik,1,13673.5601672505,6996.53568351923,375
3110035E14Rik,1,13689.0245129158,6993.46623454013,360
