Gene,Expt,y,x,neighbour
3110035E14Rik,1,14043.7940062588,6311.26010664221,71
3110035E14Rik,1,15321.808648017,6688.0275387504,201
3110035E14Rik,1,14422.308977611,6875.88264042315,259
3110035E14Rik,1,13906.8926867693,6900.96760881563,271
3110035E14Rik,1,14605.5392401759,6896.25061620511,280
3110035E14Rik,1,13959.1087757659,6913.77894411932,285
3110035E14Rik,1,14180.0312854954,6921.85541892663,294
3110035E14Rik,1,14255.0158777092,6942.64581738861,314
3110035E14Rik,1,13745.152135195,6971.52299008551,329
3110035E14Rik,1,13979.4332778425,6975.02563668642,331
3110035E14Rik,1,14122.96661717,6966.42084033553,332
3110035E14Rik,1,14488.9617104453,6978.33436136255,333
3110035E14Rik,1,14414.7197558251,6986.82491784541,356
3110035E14Rik,1,14408.8500442921,6989.14309311861,356
3110035E14Rik,1,14410.2759578913,6999.65102009138,356
3110035E14Rik,1,14416.4386909684,6980.73692910512,356
3110035E14Rik,1,14238.8100002498,6978.32191725553,361
3110035E14Rik,1,14820.4656748198,6988.4846841019,370
3110035E14Rik,1,14374.6788309947,7001.18649484702,371
3110035E14Rik,1,14199.0564850573,7020.20719943575,373
3110035E14Rik,1,14998.7054906287,7007.58654759893,378
3110035E14Rik,1,14315.6042872293,7006.18735274901,386
3110035E14Rik,1,14646.9074902828,7037.6074645984,392
3110035E14Rik,1,13998.0545770941,7025.90515526928,406
3110035E14Rik,1,13998.4423408648,7026.9086667966,406
3110035E14Rik,1,13997.3032287033,7037.52539244905,406
3110035E14Rik,1,14767.0533117212,7027.67269768291,401
3110035E14Rik,1,14833.6502822857,7040.60123796119,413
3110035E14Rik,1,14810.8219064241,7042.83931676017,432
3110035E14Rik,1,14881.0817689041,7037.66665805691,415
3110035E14Rik,1,14287.5499245538,7038.88240367055,424
3110035E14Rik,1,13788.1319642514,7067.55554049373,433
3110035E14Rik,1,14481.1355755372,7047.84838170562,435
3110035E14Rik,1,14364.8902709033,7057.11942469733,439
3110035E14Rik,1,14352.9939747056,7062.44071245971,439
3110035E14Rik,1,14410.800654607,7064.46068876971,440
3110035E14Rik,1,13973.0410761884,7081.86122902374,444
3110035E14Rik,1,15002.2974345863,7081.35893440128,453
3110035E14Rik,1,14814.9296266989,7073.21342121662,457
3110035E14Rik,1,14175.3423004366,7109.44892917508,464
3110035E14Rik,1,13801.4664211031,7103.81757880987,468
3110035E14Rik,1,14928.4768392397,7120.29587768845,480
3110035E14Rik,1,14816.7143174722,7107.24541763757,476
3110035E14Rik,1,13746.5945538353,7117.88117372663,478
3110035E14Rik,1,14934.3696326074,7123.88800275172,480
3110035E14Rik,1,14991.0898252069,7138.20941519178,485
3110035E14Rik,1,14670.1051930784,7108.64326642807,494
3110035E14Rik,1,14670.3999867767,7135.33550159612,494
3110035E14Rik,1,13988.5660864054,7147.07450569435,495
3110035E14Rik,1,14313.2123218844,7140.55508442172,496
3110035E14Rik,1,14736.0475920097,7164.83682782907,502
3110035E14Rik,1,14736.6698727148,7160.81286422543,502
3110035E14Rik,1,15270.5156829205,7153.49994852337,505
3110035E14Rik,1,14803.5723994038,7165.17611107302,507
3110035E14Rik,1,14816.1494241702,7144.13615642984,507
3110035E14Rik,1,14883.1317077791,7152.99929687722,512
3110035E14Rik,1,14773.1327607548,7158.87912304393,521
3110035E14Rik,1,14757.175137171,7173.36586468872,521
