Gene,Expt,y,x,neighbour
3110035E14Rik,1,14109.668495772,6855.37868147228,245
3110035E14Rik,1,13826.5016922415,7056.93851224367,418
3110035E14Rik,1,14882.738936321,7018.66746090147,394
3110035E14Rik,1,16831.2153430539,12706.8624647564,3176
3110035E14Rik,1,17331.7273125052,12105.5928158297,2866
3110035E14Rik,1,15258.3353593167,7180.54299482585,505
3110035E14Rik,1,14590.2020856223,6902.32768012516,282
3110035E14Rik,1,17869.6300325065,10399.4245472878,2180
3110035E14Rik,1,14551.6357032345,6964.86494724346,322
3110035E14Rik,1,14533.2198574038,6969.70228738607,322
3110035E14Rik,1,14389.2151958002,6859.85588038493,257
3110035E14Rik,1,14385.6121291705,6871.51768882669,257
3110035E14Rik,1,14832.7924401351,7069.14130937695,457
3110035E14Rik,1,17159.0450089769,12917.5415363685,3280
3110035E14Rik,1,14837.859641192,7050.84028765642,413
3110035E14Rik,1,14831.3090382036,7060.25885027254,413
3110035E14Rik,1,17449.224169731,12642.1735593387,3140
3110035E14Rik,1,17436.922336576,12638.7692471073,3140
3110035E14Rik,1,16671.9074736784,12812.5584538113,3233
3110035E14Rik,1,17020.4326562576,8468.10454533771,1261
3110035E14Rik,1,17320.5513162234,12342.237796648,2977
3110035E14Rik,1,17990.4125431883,11925.3050410832,2772
3110035E14Rik,1,14951.1694737742,7157.75436259076,519
3110035E14Rik,1,14940.5354712846,7178.55460619075,519
3110035E14Rik,1,17599.9049284144,12043.215504417,2816
3110035E14Rik,1,15556.0007738807,7352.26665984519,631
3110035E14Rik,1,17872.5736683824,10610.3190749059,2254
3110035E14Rik,1,17877.8671682073,10602.3759186284,2254
3110035E14Rik,1,17872.2593636622,10616.1737493728,2254
3110035E14Rik,1,16597.112886979,8152.53751410156,1107
3110035E14Rik,1,14846.4729613068,7224.66745140457,549
3110035E14Rik,1,14987.1730463138,7169.49245056315,3482
3110035E14Rik,1,14810.4706199307,7163.39622160481,507
3110035E14Rik,1,16018.0823067395,7645.07773053008,822
3110035E14Rik,1,14837.725936349,7153.48253998383,493
3110035E14Rik,1,15255.8662684106,7171.20332889657,505
3110035E14Rik,1,14533.6885876932,6950.49490366137,322
3110035E14Rik,1,14522.6964775029,6958.09229074144,322
3110035E14Rik,1,15052.6218538732,7141.52640656372,491
3110035E14Rik,1,15059.0089560937,7145.65962752256,491
3110035E14Rik,1,13992.4750863826,7147.01693605662,495
3110035E14Rik,1,13976.5278948897,7124.6148610535,495
3110035E14Rik,1,13767.7098299406,7143.28706714022,509
3110035E14Rik,1,14771.0415499043,7208.18658811842,533
3110035E14Rik,1,16559.3905912076,13027.6745663212,3345
3110035E14Rik,1,14412.9378768626,6981.59375596021,356
3110035E14Rik,1,14391.4255254769,6966.35570644446,340
3110035E14Rik,1,14406.1885824464,6981.35964752501,356
3110035E14Rik,1,14825.0339053294,7097.19576732932,459
3110035E14Rik,1,14721.4540811712,7080.3557185382,442
3110035E14Rik,1,17565.7795404438,9578.68245589993,1830
3110035E14Rik,1,17568.7821762605,9596.86208318262,1830
3110035E14Rik,1,17560.8724965387,9601.56022360367,1830
3110035E14Rik,1,16088.6900099408,7617.28189565995,826
3110035E14Rik,1,17813.9257814574,11281.8759168828,2495
3110035E14Rik,1,14317.0033340187,7147.27087440997,496
3110035E14Rik,1,16107.6349917822,7611.86344684465,827
3110035E14Rik,1,17856.4269746517,10401.2882803643,2180
3110035E14Rik,1,17860.9375828797,10419.9742121165,2180
3110035E14Rik,1,17859.1385343652,10405.4029078062,2180
3110035E14Rik,1,17824.0268568671,10540.3624932442,2226
3110035E14Rik,1,17483.0014261348,9400.2884457927,1743
3110035E14Rik,1,17209.3461004585,12331.4078508381,2966
3110035E14Rik,1,14925.8274526305,7066.60815874752,430
3110035E14Rik,1,14913.5733173477,7058.16213442267,430
3110035E14Rik,1,13772.8470392884,6964.75442897575,315
3110035E14Rik,1,17799.9732484459,10292.0057342885,2134
3110035E14Rik,1,17791.5197313468,10303.074355888,2134
3110035E14Rik,1,17743.5271584955,10070.803904014,2039
3110035E14Rik,1,15575.4802881515,7388.12581874517,665
3110035E14Rik,1,14048.9279463975,7056.75789802378,422
3110035E14Rik,1,16940.0424623374,8564.28831447804,1304
3110035E14Rik,1,17454.0898699756,12638.8851852763,3140
3110035E14Rik,1,17455.8583915574,12647.7337349235,3140
3110035E14Rik,1,13675.962234311,6927.48893208571,299
3110035E14Rik,1,13673.8973377065,6939.60778127969,310
3110035E14Rik,1,15126.8397664215,7116.69650558012,484
3110035E14Rik,1,14814.0010207696,7149.11064287074,507
3110035E14Rik,1,17707.5818584802,11478.8897161165,2580
3110035E14Rik,1,17971.2792471104,11394.0884350961,2543
3110035E14Rik,1,14874.1034936338,6944.94144869824,325
3110035E14Rik,1,14868.9389543867,6964.92811967532,325
3110035E14Rik,1,15339.1445527091,7372.71895210837,660
3110035E14Rik,1,15337.9428788383,7382.65837769468,660
3110035E14Rik,1,14249.1555174397,6938.37847295104,307
3110035E14Rik,1,14249.7382416389,6917.88426781768,307
3110035E14Rik,1,17726.2366804659,9987.03040362709,2005
3110035E14Rik,1,15048.1049629809,7035.32479486855,403
3110035E14Rik,1,15046.901249404,7024.94409371204,403
3110035E14Rik,1,14187.2524264312,6997.53430206361,364
3110035E14Rik,1,14829.660354477,6928.51075093354,292
3110035E14Rik,1,17898.5344267642,10908.4042757296,2363
3110035E14Rik,1,17912.7793440161,10919.3072002865,2363
3110035E14Rik,1,14554.4183290095,7063.7029951285,437
3110035E14Rik,1,14506.3561679457,7005.19535086256,391
3110035E14Rik,1,17243.7771506498,8922.90376183786,1503
3110035E14Rik,1,17445.9885920469,9336.81749274273,1709
3110035E14Rik,1,17391.7237021539,9315.47559000598,1700
3110035E14Rik,1,16820.346276129,13255.8937774179,3415
3110035E14Rik,1,14387.0489900031,6924.67136064189,291
3110035E14Rik,1,16435.7966963294,8042.04304662561,1037
3110035E14Rik,1,16400.6028488423,7986.27248566743,1016
3110035E14Rik,1,17751.8146364281,11824.8884375305,2730
3110035E14Rik,1,17838.4921255157,10305.7654601188,2140
3110035E14Rik,1,17835.9745534091,10311.6408262711,2140
3110035E14Rik,1,14813.004723255,7010.4346218477,370
3110035E14Rik,1,16664.7197455884,13003.5112907326,3320
3110035E14Rik,1,16984.2383192625,8614.01041077808,1331
3110035E14Rik,1,17678.4734195955,9906.41747625791,1960
3110035E14Rik,1,17429.5607214798,12224.4680328769,2911
3110035E14Rik,1,17699.7576103775,10251.6812650308,2098
3110035E14Rik,1,17732.8323559029,10242.7386552998,2098
3110035E14Rik,1,17897.438590767,10483.80165725,2210
3110035E14Rik,1,17153.4482630016,12444.2517766818,3022
3110035E14Rik,1,17453.1729975199,12375.0457079652,2990
3110035E14Rik,1,15886.8445490588,7621.04827615758,816
3110035E14Rik,1,15876.3776898433,7625.32423620451,812
3110035E14Rik,1,15860.2700089215,7610.73445152977,812
3110035E14Rik,1,14218.3586560975,6965.16704904403,342
3110035E14Rik,1,16914.3831563579,8346.04426569109,1210
3110035E14Rik,1,15411.3689207147,7374.24535091026,658
3110035E14Rik,1,16832.3893579635,8282.48855618138,1176
3110035E14Rik,1,16865.9912867572,12677.9441230198,3164
3110035E14Rik,1,16859.2127658781,12690.8181836757,3164
3110035E14Rik,1,17929.0011021916,10595.1647091121,2247
3110035E14Rik,1,16653.3255844143,8179.6256620911,1116
3110035E14Rik,1,17296.0949380448,12444.6391346811,3028
3110035E14Rik,1,17471.4106565839,11990.9651299369,2788
3110035E14Rik,1,17488.9879264277,9362.91099457553,1713
3110035E14Rik,1,17483.5375868914,9358.10550417853,1713
3110035E14Rik,1,17812.2319562672,11212.9038288886,2469
3110035E14Rik,1,13768.3073872885,6868.02261265545,267
3110035E14Rik,1,16589.3842784552,12994.1171659211,3321
3110035E14Rik,1,15100.3052649739,7251.97097758313,573
3110035E14Rik,1,17151.4142805062,8703.63367147987,1388
3110035E14Rik,1,14212.0161482085,6949.07087022366,342
3110035E14Rik,1,15225.2256990868,7278.87289753983,590
3110035E14Rik,1,17912.9869096668,11145.4701811052,2440
3110035E14Rik,1,17565.5827272909,9644.44525966932,1841
3110035E14Rik,1,16718.1011182486,8090.39986512108,1081
3110035E14Rik,1,16603.195391809,8221.9589507728,1141
3110035E14Rik,1,16481.634865715,13077.6767147392,3355
3110035E14Rik,1,16485.3281345774,13068.4309720709,3355
3110035E14Rik,1,14781.0267094525,7160.1299152214,521
3110035E14Rik,1,14755.4372838819,7157.61264352745,521
3110035E14Rik,1,15729.2226596779,7393.00576575743,671
3110035E14Rik,1,15725.5491498116,7390.55062761548,671
3110035E14Rik,1,17918.226429199,11047.1763299923,2408
3110035E14Rik,1,17524.4623394456,9703.64567357252,1877
3110035E14Rik,1,14901.1068549421,7106.5206214283,472
3110035E14Rik,1,17816.3795760407,10750.1346268049,2298
3110035E14Rik,1,17718.2586229425,9845.91384731836,1942
3110035E14Rik,1,17256.1727236741,12404.6689993705,3015
3110035E14Rik,1,17246.9965988268,12411.6967579149,3015
3110035E14Rik,1,17614.8425950522,12143.7822316311,2880
3110035E14Rik,1,17333.8829230288,9119.07250774995,1594
3110035E14Rik,1,17788.1124770242,11419.3168047971,2554
3110035E14Rik,1,16050.1275354938,7688.16740147387,856
3110035E14Rik,1,17672.8349736718,9752.68230006418,1901
3110035E14Rik,1,17461.1192476506,12196.7792676666,2907
3110035E14Rik,1,17453.7636283762,12051.8719510415,2826
3110035E14Rik,1,17693.3144004055,9674.62851250579,1864
3110035E14Rik,1,15277.6684447461,7274.02758678903,600
3110035E14Rik,1,17971.0308886961,10537.2749362808,2230
3110035E14Rik,1,13859.1656950373,7134.97282886379,488
3110035E14Rik,1,13866.965088074,7132.56691747914,488
3110035E14Rik,1,15382.4441482409,7294.076957033,604
3110035E14Rik,1,17543.118638083,11913.2743675314,2751
3110035E14Rik,1,17016.818790525,8537.08700279599,1289
3110035E14Rik,1,17874.0305098852,10158.9533590482,2078
3110035E14Rik,1,17684.5676580765,9880.38373051425,1960
3110035E14Rik,1,17783.9929606682,11508.930047791,2597
3110035E14Rik,1,17916.5259918001,10674.6983842351,2274
3110035E14Rik,1,16685.9487860058,8146.9569644219,1108
3110035E14Rik,1,17964.9123620598,10981.6621272984,2382
3110035E14Rik,1,17313.1288477641,8911.12447983378,1488
3110035E14Rik,1,15971.42145717,7583.01326682729,776
3110035E14Rik,1,17847.1196997007,11216.458817371,2466
3110035E14Rik,1,17740.1355460449,9861.55450147472,1946
3110035E14Rik,1,17976.4509520975,10289.4695330685,2133
