Gene,Expt,y,x,neighbour
3110035E14Rik,1,13476.1243175046,6469.47895981641,138
3110035E14Rik,1,16954.1802914311,8688.28663593278,1373
3110035E14Rik,1,15741.4699935795,9273.00734369448,1673
3110035E14Rik,1,14453.4061921834,6267.36441137841,45
3110035E14Rik,1,14089.2044832991,6845.08545999693,245
3110035E14Rik,1,14091.1230945533,6848.79424707658,245
3110035E14Rik,1,14118.9410705128,6849.41526579665,245
3110035E14Rik,1,14079.6973929972,6835.88572439849,245
3110035E14Rik,1,13837.5472215929,7068.96986982212,418
3110035E14Rik,1,13832.4049822104,7055.672366963,418
3110035E14Rik,1,13831.1063488683,7056.4499533053,418
3110035E14Rik,1,13839.6815705566,7075.22501644057,418
3110035E14Rik,1,14896.0818154787,7027.35864353752,394
3110035E14Rik,1,14886.1514202457,7036.92628724747,414
3110035E14Rik,1,16212.9999500347,7689.44451977508,861
3110035E14Rik,1,16830.5248084639,12702.8581898149,3176
3110035E14Rik,1,16839.9307024719,12692.912747399,3176
3110035E14Rik,1,17322.1560606429,12109.2096599386,2871
3110035E14Rik,1,17342.1201186209,12111.0516762078,2868
3110035E14Rik,1,17332.0298020652,12094.8299299332,2866
3110035E14Rik,1,17347.319221661,12091.4297624168,2866
3110035E14Rik,1,13755.7870643987,6902.53138653945,274
3110035E14Rik,1,13744.9840856681,6913.30693961285,274
3110035E14Rik,1,17334.6045858204,8997.243800923,1528
3110035E14Rik,1,17640.9780638958,12200.8595510524,2903
3110035E14Rik,1,15264.9408709129,7166.75200566166,505
3110035E14Rik,1,15263.800152737,7159.23329453897,505
3110035E14Rik,1,14582.0464855822,6886.96777544291,282
3110035E14Rik,1,14577.5633650502,6877.21734196283,282
3110035E14Rik,1,14584.9628465755,6890.87282098678,282
3110035E14Rik,1,17858.5827804102,10428.0745620405,2191
3110035E14Rik,1,17867.4238046274,10398.0850810275,2180
3110035E14Rik,1,17866.4761163896,10410.4425727254,2180
3110035E14Rik,1,14539.2009505022,6961.11418509196,322
3110035E14Rik,1,14544.0326889227,6955.89995830672,322
3110035E14Rik,1,14543.4176237711,6955.36947448646,322
3110035E14Rik,1,14543.2813232832,6950.61230379251,322
3110035E14Rik,1,14395.7295351077,6860.53059256245,257
3110035E14Rik,1,14386.0981574891,6863.85824428998,257
3110035E14Rik,1,14385.9631630935,6882.99716024964,257
3110035E14Rik,1,13803.5475001874,6903.54235693935,275
3110035E14Rik,1,14817.816126524,7031.78684771447,413
3110035E14Rik,1,14825.0479785448,7030.73666800578,413
3110035E14Rik,1,17148.6674235387,12906.6125030998,3280
3110035E14Rik,1,17144.3385994867,12927.9628696344,3280
3110035E14Rik,1,17145.5105495328,12899.3084360295,3280
3110035E14Rik,1,14840.2096788492,7049.72663133882,413
3110035E14Rik,1,14832.7384734498,7035.44129798429,413
3110035E14Rik,1,14827.692067919,7051.47561240914,413
3110035E14Rik,1,14823.7053740743,7052.97696349336,413
3110035E14Rik,1,17442.5134637595,12652.8966614949,3140
