index,target,radius,x,y,z
0,Cxcl14,,6261.0,13002.0,0
1,Plp1,,6150.0,13724.0,0
2,Plp1,,6150.0,13734.0,0
3,Id2,,6150.0,13981.0,0
4,Enpp2,,6150.0,14004.0,0
5,Plp1,,6150.0,14014.0,0
6,Aldoc,,6150.0,14186.0,0
7,Enpp2,,6151.0,13718.0,0
8,Plp1,,6151.0,13942.0,0
9,Id2,,6151.0,13975.0,0
10,Cryab,,6151.0,13988.0,0
11,Plp1,,6151.0,14008.0,0
12,Plp1,,6152.0,13716.0,0
13,Plp1,,6152.0,13729.0,0
14,Rgs4,,6153.0,13895.0,0
15,Sulf2,,6153.0,14006.0,0
16,Plp1,,6153.0,14014.0,0
17,Id2,,6153.0,14197.0,0
18,Plp1,,6154.0,13951.0,0
19,Enpp2,,6155.0,14002.0,0
20,Cryab,,6155.0,14009.0,0
21,Fam19a1,,6155.0,14206.0,0
22,Plp1,,6155.0,14242.0,0
23,Plp1,,6155.0,14260.0,0
24,Plp1,,6156.0,13731.0,0
25,Plp1,,6156.0,13744.0,0
26,Plp1,,6156.0,13992.0,0
27,Rorb,,6156.0,14137.0,0
28,Id2,,6156.0,14165.0,0
29,Cxcl14,,6157.0,13975.0,0
30,Gad1,,6157.0,14130.0,0
31,Id2,,6157.0,14175.0,0
32,Enpp2,,6158.0,13737.0,0
33,Enpp2,,6158.0,13956.0,0
34,Plp1,,6158.0,13963.0,0
35,Plp1,,6158.0,14010.0,0
36,Plp1,,6158.0,14019.0,0
37,Id2,,6158.0,14195.0,0
38,Plp1,,6159.0,13740.0,0
39,Plp1,,6159.0,13999.0,0
40,Plp1,,6159.0,14016.0,0
41,Gad1,,6159.0,14103.0,0
42,6330403K07Rik,,6159.0,14123.0,0
43,Plp1,,6160.0,13731.0,0
44,Plp1,,6160.0,14003.0,0
45,Enpp2,,6160.0,14014.0,0
46,Plcxd2,,6160.0,14198.0,0
47,Plp1,,6161.0,13990.0,0
48,Gad1,,6161.0,14107.0,0
49,Plp1,,6162.0,13959.0,0
50,Plp1,,6162.0,14000.0,0
51,Enpp2,,6162.0,14008.0,0
52,Plp1,,6163.0,13731.0,0
53,Slc6a1,,6163.0,13898.0,0
54,Satb1,,6163.0,14166.0,0
55,Id2,,6163.0,14174.0,0
56,Plp1,,6164.0,13947.0,0
57,Plp1,,6164.0,13963.0,0
58,Fos,,6164.0,14194.0,0
59,Enpp2,,6165.0,13954.0,0
60,Neurod6,,6166.0,13744.0,0
61,3110035E14Rik,,6166.0,13868.0,0
62,Id2,,6166.0,14123.0,0
63,Zcchc12,,6166.0,14155.0,0
64,3110035E14Rik,,6167.0,13871.0,0
65,3110035E14Rik,,6168.0,13868.0,0
66,Plp1,,6168.0,13958.0,0
67,Plp1,,6169.0,13744.0,0
68,Plp1,,6169.0,13955.0,0
69,Aldoc,,6169.0,14138.0,0
70,Plp1,,6170.0,13745.0,0
71,Plp1,,6171.0,13741.0,0
72,Plp1,,6171.0,13822.0,0
73,Plp1,,6172.0,13738.0,0
74,Id2,,6173.0,14249.0,0
75,Rprm,,6174.0,14202.0,0
76,Cryab,,6175.0,13731.0,0
77,Plp1,,6175.0,13954.0,0
78,Plp1,,6175.0,14164.0,0
79,Plp1,,6176.0,13816.0,0
80,Cryab,,6176.0,14033.0,0
81,Plp1,,6177.0,13824.0,0
82,Plp1,,6177.0,13951.0,0
83,Plp1,,6178.0,13743.0,0
84,Plp1,,6178.0,13961.0,0
85,Cplx2,,6178.0,14246.0,0
86,Kctd12,,6179.0,13738.0,0
87,Cryab,,6179.0,13952.0,0
88,Cck,,6179.0,14320.0,0
89,Plp1,,6180.0,13817.0,0
90,Enpp2,,6180.0,13908.0,0
91,6330403K07Rik,,6181.0,13599.0,0
92,6330403K07Rik,,6181.0,13730.0,0
93,Id2,,6181.0,13900.0,0
94,Plp1,,6181.0,13956.0,0
95,Aldoc,,6181.0,13982.0,0
