mode,norm,fold,xKey,xLabel,yKey,yLabel,val
constrained,mean,0,0.25,0.25,0.0,0.0,0.06636501389756985
constrained,mean,0,0.25,0.25,0.1,0.1,0.05646062170436686
constrained,mean,0,0.25,0.25,0.2,0.2,0.04492488333268437
constrained,mean,0,0.25,0.25,0.3,0.3,0.03772263418060077
constrained,mean,0,0.25,0.25,0.4,0.4,0.026655886173100378
constrained,mean,0,0.25,0.25,0.5,0.5,0.028389630164639447
constrained,mean,0,0.25,0.25,0.6,0.6,0.023676078051589864
constrained,mean,0,0.25,0.25,0.7,0.7,0.02626350137108606
constrained,mean,0,0.25,0.25,0.8,0.8,0.03428170963176503
constrained,mean,0,0.25,0.25,0.9,0.9,0.03112202459086971
constrained,mean,0,0.25,0.25,1.0,1.0,0.0369180122122313
constrained,mean,0,0.5,0.5,0.0,0.0,0.2734035049853356
constrained,mean,0,0.5,0.5,0.1,0.1,0.21574172284118345
constrained,mean,0,0.5,0.5,0.2,0.2,0.19554271472875723
constrained,mean,0,0.5,0.5,0.3,0.3,0.12154484477732272
constrained,mean,0,0.5,0.5,0.4,0.4,0.07852713495136884
constrained,mean,0,0.5,0.5,0.5,0.5,0.055343507798510945
constrained,mean,0,0.5,0.5,0.6,0.6,0.04353625502642286
constrained,mean,0,0.5,0.5,0.7,0.7,0.029606896380477168
constrained,mean,0,0.5,0.5,0.8,0.8,0.018812351722315653
constrained,mean,0,0.5,0.5,0.9,0.9,0.019387346626423444
constrained,mean,0,0.5,0.5,1.0,1.0,0.01899912916718098
constrained,mean,0,0.75,0.75,0.0,0.0,0.41875549767245485
constrained,mean,0,0.75,0.75,0.1,0.1,0.37342924373120157
constrained,mean,0,0.75,0.75,0.2,0.2,0.33008426324293827
constrained,mean,0,0.75,0.75,0.3,0.3,0.2753937350728782
constrained,mean,0,0.75,0.75,0.4,0.4,0.18487540060106813
constrained,mean,0,0.75,0.75,0.5,0.5,0.1510100311767649
constrained,mean,0,0.75,0.75,0.6,0.6,0.07592074284024704
constrained,mean,0,0.75,0.75,0.7,0.7,0.052487705153581234
constrained,mean,0,0.75,0.75,0.8,0.8,0.038763085621978756
constrained,mean,0,0.75,0.75,0.9,0.9,0.02290612082951678
constrained,mean,0,0.75,0.75,1.0,1.0,0.023825933117849127
constrained,mean,0,1.0,1.0,0.0,0.0,0.5106898973597658
constrained,mean,0,1.0,1.0,0.1,0.1,0.46777687364205656
