mode,norm,fold,xKey,xLabel,yKey,yLabel,val
constrained,mutual_information,0,0.25,0.25,0.0,0.0,-0.017870291173227717
constrained,mutual_information,0,0.25,0.25,0.25,0.25,0.1763741483084197
constrained,mutual_information,0,0.25,0.25,0.5,0.5,0.2975999049045119
constrained,mutual_information,0,0.25,0.25,0.75,0.75,0.8769351837397197
constrained,mutual_information,0,0.25,0.25,1.0,1.0,0.8847032489229798
constrained,mutual_information,0,0.5,0.5,0.0,0.0,0.8319802987676335
constrained,mutual_information,0,0.5,0.5,0.25,0.25,0.2187730254630062
constrained,mutual_information,0,0.5,0.5,0.5,0.5,-0.10953374971947634
constrained,mutual_information,0,0.5,0.5,0.75,0.75,0.23726633302406744
constrained,mutual_information,0,0.5,0.5,1.0,1.0,0.4280760932014173
constrained,mutual_information,0,0.75,0.75,0.0,0.0,1.764900869240066
constrained,mutual_information,0,0.75,0.75,0.25,0.25,1.1499113487320358
constrained,mutual_information,0,0.75,0.75,0.5,0.5,0.2606443503033486
constrained,mutual_information,0,0.75,0.75,0.75,0.75,-0.14022117204163909
constrained,mutual_information,0,0.75,0.75,1.0,1.0,0.2534556478206969
constrained,mutual_information,0,1.0,1.0,0.0,0.0,2.1795647412388695
constrained,mutual_information,0,1.0,1.0,0.25,0.25,1.8128129411373672
constrained,mutual_information,0,1.0,1.0,0.5,0.5,0.9704322631307314
constrained,mutual_information,0,1.0,1.0,0.75,0.75,-0.0840476139065182
constrained,mutual_information,0,1.0,1.0,1.0,1.0,0.1475364227973745
constrained,mutual_information,0,1.25,1.25,0.0,0.0,2.362010272726514
constrained,mutual_information,0,1.25,1.25,0.25,0.25,2.128912281916528
constrained,mutual_information,0,1.25,1.25,0.5,0.5,1.4881062758390287
constrained,mutual_information,0,1.25,1.25,0.75,0.75,0.20283101467825196
constrained,mutual_information,0,1.25,1.25,1.0,1.0,0.17561381674436657
constrained,mutual_information,0,1.5,1.5,0.0,0.0,2.3871800068732494
constrained,mutual_information,0,1.5,1.5,0.25,0.25,2.2872783608191205
constrained,mutual_information,0,1.5,1.5,0.5,0.5,1.7381946322732844
constrained,mutual_information,0,1.5,1.5,0.75,0.75,0.48614698687042956
constrained,mutual_information,0,1.5,1.5,1.0,1.0,0.33699482041117884
constrained,mutual_information,0,1.75,1.75,0.0,0.0,2.364224788094137
constrained,mutual_information,0,1.75,1.75,0.25,0.25,2.303341885835107
constrained,mutual_information,0,1.75,1.75,0.5,0.5,1.8850611090561307
constrained,mutual_information,0,1.75,1.75,0.75,0.75,0.6697815149542055
constrained,mutual_information,0,1.75,1.75,1.0,1.0,0.3790744527218651
constrained,mutual_information,0,2.0,2.0,0.0,0.0,2.297599050716486
constrained,mutual_information,0,2.0,2.0,0.25,0.25,2.315161768086499
constrained,mutual_information,0,2.0,2.0,0.5,0.5,1.8367734026131428
constrained,mutual_information,0,2.0,2.0,0.75,0.75,0.7728533802735132
constrained,mutual_information,0,2.0,2.0,1.0,1.0,0.4321751963575997
constrained,mutual_information,0,2.25,2.25,0.0,0.0,2.228562077905269
constrained,mutual_information,0,2.25,2.25,0.25,0.25,2.3081442768838816
constrained,mutual_information,0,2.25,2.25,0.5,0.5,1.7691548073840142
constrained,mutual_information,0,2.25,2.25,0.75,0.75,0.7151755814697768
constrained,mutual_information,0,2.25,2.25,1.0,1.0,0.4643611117753951
constrained,mutual_information,0,2.5,2.5,0.0,0.0,2.1716343496288006
constrained,mutual_information,0,2.5,2.5,0.25,0.25,2.189526830073886
constrained,mutual_information,0,2.5,2.5,0.5,0.5,1.7317892024610555
constrained,mutual_information,0,2.5,2.5,0.75,0.75,0.7813086515206871
constrained,mutual_information,0,2.5,2.5,1.0,1.0,0.5045302751556175
constrained,mutual_information,0,2.75,2.75,0.0,0.0,2.0988630362416774
constrained,mutual_information,0,2.75,2.75,0.25,0.25,2.1109982723224534
